predator_mass	prey_mass
136080	207.77
136080	287.51
132190	185
174610	82.953
174610	96.23
174610	110.9
174610	110.9
174610	110.9
174610	110.9
174610	127.03
174610	144.71
174610	144.71
174610	144.71
174610	164.01
174610	164.01
174610	164.01
174610	185
174610	185
181650	0.13011
85121	144.71
85121	164.01
85121	164.01
156700	232.39
167740	96.23
167740	110.9
167740	127.03
167740	144.71
167740	144.71
167740	185
163270	110.9
163270	127.03
163270	144.71
163270	207.77
163270	207.77
167740	0.19469
167740	96.23
167740	127.03
167740	144.71
174610	0.01942
174610	0.10339
156700	207.77
156700	164.01
156700	232.39
163270	22.063
174610	96.23
174610	110.9
174610	127.03
181650	96.23
181650	96.23
181650	127.03
181650	144.71
203910	70.992
132190	232.39
126480	164.01
126480	164.01
126480	207.77
126480	207.77
181650	127.03
181650	164.01
181650	185
181650	185
206490	144.71
206490	144.71
206490	144.71
206490	164.01
206490	185
206490	232.39
211710	17.642
219700	127.03
174610	82.953
174610	96.23
174610	96.23
174610	110.9
174610	127.03
174610	185
181650	0.13011
122770	144.71
122770	207.77
122770	207.77
193810	207.77
193810	207.77
181650	96.23
181650	110.9
181650	127.03
181650	127.03
181650	127.03
181650	144.71
181650	267.6
181650	185
181650	185
186450	185
163270	0.55038
163270	82.953
163270	110.9
163270	127.03
163270	127.03
163270	144.71
163270	164.01
193810	50.719
132190	127.03
132190	164.01
132190	164.01
132190	164.01
132190	207.77
193810	207.77
193810	232.39
193810	232.39
193810	258.94
198820	110.9
198820	96.23
163270	82.953
163270	82.953
163270	0.61913
163270	0.61913
163270	110.9
163270	144.71
163270	144.71
163270	144.71
163270	164.01
163270	164.01
163270	185
163270	185
167740	22.063
105280	70.992
105280	70.992
105280	82.953
105280	82.953
105280	82.953
105280	82.953
105280	82.953
105280	82.953
105280	82.953
105280	82.953
105280	96.23
105280	96.23
105280	96.23
105280	96.23
105280	96.23
105280	96.23
105280	96.23
105280	96.23
105280	96.23
105280	110.9
105280	110.9
105280	110.9
105280	110.9
105280	110.9
105280	110.9
105280	110.9
105280	110.9
105280	127.03
105280	127.03
105280	127.03
105280	127.03
105280	144.71
105280	144.71
105280	164.01
105280	185
105280	185
105280	185
105280	185
105280	185
50707	96.23
50707	110.9
50707	127.03
50707	258.94
181650	144.71
181650	267.6
181650	185
181650	185
181650	185
181650	185
181650	185
181650	207.77
181650	232.39
181650	232.39
193810	50.719
136080	110.9
136080	127.03
136080	127.03
136080	127.03
136080	127.03
136080	144.71
136080	144.71
136080	144.71
136080	144.71
136080	144.71
136080	144.71
136080	164.01
136080	164.01
136080	185
136080	258.94
146150	96.23
198820	207.77
203910	60.272
193810	50.719
193810	50.719
193810	60.272
193810	60.272
193810	60.272
193810	70.992
193810	82.953
193810	82.953
193810	96.23
193810	185
193810	185
117340	60.272
117340	70.992
206490	96.23
206490	110.9
225140	13.874
225140	0.2328
108640	5.9276
108640	8.0733
108640	8.0733
108640	10.704
108640	17.642
167740	82.953
163270	0.32128
163270	0.48632
163270	22.063
74082	5.9276
50707	27.197
50707	39.84
233460	22.063
247780	22.063
181650	82.953
225140	10.704
136080	17.642
136080	33.102
136080	33.102
136080	39.84
136080	39.84
136080	39.84
136080	39.84
136080	39.84
136080	39.84
