;Max_length;Common_length;Source;
Centropyge ferrugata;10;NA;Fishbase;
Centropyge fisheri;7.5;NA;Fishbase;
Centropyge flavipectoralis;10;NA;Fishbase;
Centropyge flavissima;14;NA;Fishbase;
Centropyge heraldi;10;NA;Fishbase;
Centropyge hotumatua;8;NA;Fishbase;
Centropyge interruptus;15;NA;Fishbase;
Centropyge joculator;9;NA;Fishbase;
Centropyge loricula;15;NA;Fishbase;
Centropyge multicolor;9;NA;Fishbase;
Centropyge multispinis;14;NA;Fishbase;
Centropyge nahackyi;9;NA;Fishbase;
Centropyge narcosis;5.5;NA;Fishbase;
Centropyge nigriocellus;6;NA;Fishbase;
Centropyge nox;10;NA;Fishbase;
Centropyge potteri;10;NA;Fishbase;
Centropyge resplendens;6;NA;Fishbase;
Centropyge shepardi;9;7;Fishbase;
Centropyge tibicen;19;NA;Fishbase;
Centropyge venusta;12;NA;Fishbase;
Centropyge vrolikii;12;NA;Fishbase;
Cetoscarus bicolor;90;NA;Fishbase;
Cetoscarus ocellatus;80;NA;Fishbase;
Chaetodon adiergastos;20;NA;Fishbase;
Chaetodon andamanensis;15;NA;Fishbase;
Chaetodon argentatus;20;NA;Fishbase;
Chaetodon assarius;13;NA;Fishbase;
Chaetodon aureofasciatus;12.5;NA;Fishbase;
Chaetodon auriga;23;NA;Fishbase;
Chaetodon auripes;20;NA;Fishbase;
Chaetodon austriacus;13;NA;Fishbase;
Chaetodon baronessa;16;NA;Fishbase;
Chaetodon bennetti;20;NA;Fishbase;
Chaetodon blackburnii;13;NA;Fishbase;
Chaetodon burgessi;14;NA;Fishbase;
Chaetodon capistratus;7.5;NA;Fishbase;
Chaetodon citrinellus;13;NA;Fishbase;
Chaetodon collare;18;NA;Fishbase;
Chaetodon daedalma;15;NA;Fishbase;
Chaetodon declivis;12;NA;Fishbase;
Chaetodon decussatus;20;NA;Fishbase;
Chaetodon dialeucos;18;NA;Fishbase;
Chaetodon dolosus;15;NA;Fishbase;
Chaetodon ephippium;30;NA;Fishbase;
Chaetodon falcula;20;NA;Fishbase;
Chaetodon fasciatus;22;15;Fishbase;
Chaetodon flavirostris;20;NA;Fishbase;
Chaetodon flavocoronatus;12;NA;Fishbase;
Chaetodon fremblii;13;NA;Fishbase;
Chaetodon gardineri;17;NA;Fishbase;
Chaetodon guentheri;18;NA;Fishbase;
Chaetodon guttatissimus;12;NA;Fishbase;
Chaetodon hoefleri;27;17;Fishbase;
Chaetodon humeralis;25.4;12;Fishbase;
Chaetodon interruptus;20;NA;Fishbase;
Chaetodon kleinii;15;NA;Fishbase;
Chaetodon larvatus;12;12;Fishbase;
Chaetodon leucopleura;18;NA;Fishbase;
Chaetodon lineolatus;30;NA;Fishbase;
Chaetodon litus;15.5;NA;Fishbase;
Chaetodon lunula;20;NA;Fishbase;
Chaetodon lunulatus;14;NA;Fishbase;
Chaetodon madagaskariensis;13;NA;Fishbase;
Chaetodon marleyi;20;NA;Fishbase;
Chaetodon melannotus;18;NA;Fishbase;
Chaetodon melapterus;13;NA;Fishbase;
Chaetodon mertensii;12.5;NA;Fishbase;
Chaetodon mesoleucos;13;12;Fishbase;
Chaetodon meyeri;20;NA;Fishbase;
Chaetodon miliaris;13;NA;Fishbase;
Chaetodon mitratus;14;NA;Fishbase;
Chaetodon multicinctus;12;NA;Fishbase;
Chaetodon nigropunctatus;14;NA;Fishbase;
Chaetodon nippon;15;NA;Fishbase;
Chaetodon ocellatus;20;NA;Fishbase;
Chaetodon ocellicaudus;15;NA;Fishbase;
Chaetodon octofasciatus;12;NA;Fishbase;
Chaetodon ornatissimus;20;NA;Fishbase;
Chaetodon oxycephalus;25;NA;Fishbase;
Chaetodon paucifasciatus;14;NA;Fishbase;
Chaetodon pelewensis;12.5;NA;Fishbase;
Chaetodon pictus;NA;NA;Fishbase;
Chaetodon plebeius;15;NA;Fishbase;
Chaetodon punctatofasciatus;12;NA;Fishbase;
Chaetodon quadrimaculatus;16;NA;Fishbase;
Chaetodon rafflesii;18;15;Fishbase;
Chaetodon rainfordi;15;NA;Fishbase;
Chaetodon reticulatus;18;NA;Fishbase;
Chaetodon robustus;14.5;NA;Fishbase;
Chaetodon sanctaehelenae;18;NA;Fishbase;
Chaetodon sedentarius;15;NA;Fishbase;
Chaetodon selene;16;NA;Fishbase;
Chaetodon semeion;26;NA;Fishbase;
Chaetodon semilarvatus;23;15;Fishbase;
Chaetodon smithi;19;NA;Fishbase;
Chaetodon speculum;18;NA;Fishbase;
Chaetodon striatus;16;NA;Fishbase;
Chaetodon tinkeri;15;NA;Fishbase;
Chaetodon triangulum;16;NA;Fishbase;
Chaetodon trichrous;12;NA;Fishbase;
Chaetodon tricinctus;15;NA;Fishbase;
Chaetodon trifascialis;18;NA;Fishbase;
Chaetodon trifasciatus;15;12;Fishbase;
Chaetodon ulietensis;15;NA;Fishbase;
Chaetodon unimaculatus;20;16;Fishbase;
Chaetodon vagabundus;23;15;Fishbase;
Chaetodon wiebeli;19;NA;Fishbase;
Chaetodon xanthocephalus;20;NA;Fishbase;
Chaetodon xanthurus;14;NA;Fishbase;
Chaetodon zanzibarensis;12;NA;Fishbase;
Chaetodontoplus ballinae;NA;NA;Fishbase;
Chaetodontoplus caeruleopunctatus;20;NA;Fishbase;
Chaetodontoplus chrysocephalus;22;NA;Fishbase;
Chaetodontoplus conspicillatus;10;NA;Fishbase;
Chaetodontoplus dimidiatus;22;NA;Fishbase;
Chaetodontoplus duboulayi;28;NA;Fishbase;
Chaetodontoplus melanosoma;20;NA;Fishbase;
Chaetodontoplus meredithi;25;NA;Fishbase;
