;Max_length;Common_length;Source;
Iniistius trivittatus;30;NA;Fishbase;
Iniistius twistii;20;NA;Fishbase;
Iniistius umbrilatus;17.5;NA;Fishbase;
Iniistius verrens;NA;NA;Fishbase;
Johnrandallia nigrirostris;20;14;Fishbase;
Katsuwonus pelamis;110;80;Fishbase;
Labrichthys unilineatus;17.5;NA;Fishbase;
Labroides bicolor;15;NA;Fishbase;
Labroides dimidiatus;14;NA;Fishbase;
Labroides pectoralis;11;NA;Fishbase;
Labroides phthirophagus;12;NA;Fishbase;
Labroides rubrolabiatus;9;NA;Fishbase;
Labropsis alleni;10;NA;Fishbase;
Labropsis australis;10.5;NA;Fishbase;
Labropsis manabei;10;7;Fishbase;
Labropsis micronesica;12;9;Fishbase;
Labropsis polynesica;7.9;NA;Fishbase;
Labropsis xanthonota;13;NA;Fishbase;
Labrus bergylta;65.9;NA;Fishbase;
Labrus merula;45;40;Fishbase;
Labrus mixtus;40;30;Fishbase;
Labrus viridis;47;37.5;Fishbase;
Lachnolaimus maximus;91;35;Fishbase;
Lappanella fasciata;15;NA;Fishbase;
Lappanella guineensis;11.8;NA;Fishbase;
Larabicus quadrilineatus;11.5;NA;Fishbase;
Leptojulis chrysotaenia;11;NA;Fishbase;
Leptojulis cyanopleura;13;NA;Fishbase;
Leptojulis lambdastigma;13.6;NA;Fishbase;
Leptojulis polylepis;10;NA;Fishbase;
Leptojulis urostigma;11;NA;Fishbase;
Leptoscarus vaigiensis;35;NA;Fishbase;
Liopropoma fasciatum;17.8;NA;Fishbase;
Macropharyngodon bipartitus;13;NA;Fishbase;
Macropharyngodon choati;7.6;NA;Fishbase;
Macropharyngodon cyanoguttatus;11.5;NA;Fishbase;
Macropharyngodon geoffroy;15;NA;Fishbase;
Macropharyngodon kuiteri;10;NA;Fishbase;
Macropharyngodon meleagris;15;NA;Fishbase;
Macropharyngodon moyeri;12;NA;Fishbase;
Macropharyngodon negrosensis;12;NA;Fishbase;
Macropharyngodon ornatus;13;NA;Fishbase;
Macropharyngodon vivienae;11;NA;Fishbase;
Malapterus reticulatus;NA;NA;Fishbase;
Minilabrus striatus;6;NA;Fishbase;
Naso annulatus;100;NA;Fishbase;
Naso brachycentron;90;NA;Fishbase;
Naso brevirostris;60;NA;Fishbase;
Naso caeruleacauda;40;NA;Fishbase;
Naso caesius;45.6;NA;Fishbase;
Naso elegans;45;35;Fishbase;
Naso fageni;80;NA;Fishbase;
Naso hexacanthus;75;50;Fishbase;
Naso lituratus;50;NA;Fishbase;
Naso lopezi;60;NA;Fishbase;
Naso maculatus;60;NA;Fishbase;
Naso mcdadei;75;NA;Fishbase;
Naso minor;30;NA;Fishbase;
Naso reticulatus;49;NA;Fishbase;
Naso thynnoides;40;25;Fishbase;
Naso tonganus;60;NA;Fishbase;
Naso tuberosus;60;NA;Fishbase;
Naso unicornis;70;50;Fishbase;
Naso vlamingii;60;NA;Fishbase;
Nelabrichthys ornatus;3.9;NA;Fishbase;
Neoodax balteatus;14;NA;Fishbase;
Nicholsina collettei;24;NA;Fishbase;
Nicholsina denticulata;32;20;Fishbase;
Notolabrus celidotus;23.9;NA;Fishbase;
Notolabrus cinctus;29.9;NA;Fishbase;
Notolabrus fucicola;38;NA;Fishbase;
Notolabrus gymnogenis;23;NA;Fishbase;
Notolabrus inscriptus;50;NA;Fishbase;
Notolabrus parilus;40;NA;Fishbase;
Notolabrus tetricus;50;NA;Fishbase;
Novaculichthys macrolepidotus;16;NA;Fishbase;
Novaculichthys taeniourus;30;NA;Fishbase;
Odax cyanoallix;27;NA;Fishbase;
Odax pullus;40;NA;Fishbase;
Olisthops cyanomelas;35;NA;Fishbase;
Ophthalmolepis lineolata;40;NA;Fishbase;
Orcynopsis unicolor;130;90;Fishbase;
Oxycheilinus arenatus;21;NA;Fishbase;
Oxycheilinus bimaculatus;15;NA;Fishbase;
Oxycheilinus celebicus;24;NA;Fishbase;
Oxycheilinus digramma;40;NA;Fishbase;
Oxycheilinus lineatus;15.9;NA;Fishbase;
Oxycheilinus mentalis;20;NA;Fishbase;
Oxycheilinus nigromarginatus;11.3;NA;Fishbase;
Oxycheilinus orientalis;20;NA;Fishbase;
Oxycheilinus unifasciatus;46;NA;Fishbase;
Oxyjulis californica;25;NA;Fishbase;
Paracanthurus hepatus;31;NA;Fishbase;
Paracentropyge multifasciata;12;NA;Fishbase;
Parachaetodon ocellatus;18;NA;Fishbase;
Paracheilinus angulatus;7.5;NA;Fishbase;
Paracheilinus attenuatus;5.9;NA;Fishbase;
Paracheilinus bellae;6.5;NA;Fishbase;
Paracheilinus carpenteri;8;NA;Fishbase;
Paracheilinus cyaneus;7;NA;Fishbase;
Paracheilinus filamentosus;15;NA;Fishbase;
Paracheilinus flavianalis;8.5;NA;Fishbase;
Paracheilinus hemitaeniatus;18;NA;Fishbase;
Paracheilinus lineopunctatus;7;NA;Fishbase;
Paracheilinus mccoskeri;8;NA;Fishbase;
Paracheilinus nursalim;5.1;NA;Fishbase;
Paracheilinus octotaenia;9;NA;Fishbase;
Paracheilinus piscilineatus;5.7;NA;Fishbase;
Paracheilinus rubricaudalis;5.6;NA;Fishbase;
Paracheilinus togeanensis;7;NA;Fishbase;
Paracheilinus walton;4.1;NA;Fishbase;
Parajulis poecilepterus;34;NA;Fishbase;
Paralabrax albomaculatus;50.8;NA;Fishbase;
Paralabrax auroguttatus;71;NA;Fishbase;
Paralabrax callaensis;35;NA;Fishbase;
Paralabrax clathratus;72;NA;Fishbase;
Paralabrax humeralis;54.5;NA;Fishbase;
Paralabrax loro;38;NA;Fishbase;
Paralabrax maculatofasciatus;60;NA;Fishbase;
Paralabrax nebulifer;67;NA;Fishbase;
Pictilabrus brauni;7.4;NA;Fishbase;
Pictilabrus laticlavius;23;NA;Fishbase;
Pictilabrus viridis;14.1;NA;Fishbase;
Polylepion cruentum;24;NA;Fishbase;
Polylepion russelli;25;NA;Fishbase;
Pomacanthus annularis;45;NA;Fishbase;
Pomacanthus arcuatus;60;45;Fishbase;
Pomacanthus asfur;40;NA;Fishbase;
Pomacanthus chrysurus;33;NA;Fishbase;
Pomacanthus imperator;40;NA;Fishbase;
Pomacanthus maculosus;50;20;Fishbase;
Pomacanthus navarchus;28;NA;Fishbase;
Pomacanthus paru;41.1;28;Fishbase;
Pomacanthus rhomboides;46;NA;Fishbase;
Pomacanthus semicirculatus;40;NA;Fishbase;
Pomacanthus sexstriatus;46;NA;Fishbase;
Pomacanthus xanthometopon;38;NA;Fishbase;
Pomacanthus zonipectus;46;26;Fishbase;
Prionurus biafraensis;20;15;Fishbase;
Prionurus chrysurus;30;NA;Fishbase;
Prionurus laticlavius;60;25;Fishbase;
Prionurus maculatus;45;NA;Fishbase;
Prionurus microlepidotus;70;NA;Fishbase;
Prionurus punctatus;60;NA;Fishbase;
Prionurus scalprum;50;NA;Fishbase;
Prognathodes aculeatus;10;NA;Fishbase;
Prognathodes aya;15;NA;Fishbase;
Prognathodes brasiliensis;NA;NA;Fishbase;
Prognathodes carlhubbsi;12.1;NA;Fishbase;
Prognathodes dichrous;16;NA;Fishbase;
Prognathodes falcifer;15;NA;Fishbase;
Prognathodes guezei;11;NA;Fishbase;
Prognathodes guyanensis;13.6;NA;Fishbase;
Prognathodes guyotensis;15;NA;Fishbase;
Prognathodes marcellae;11.6;NA;Fishbase;
Prognathodes obliquus;15;NA;Fishbase;
Pronotogrammus multifasciatus;26;NA;Fishbase;
Pseudocheilinops ataenia;6.5;NA;Fishbase;
Pseudocheilinus citrinus;6.6;NA;Fishbase;
Pseudocheilinus dispilus;7.8;NA;Fishbase;
Pseudocheilinus evanidus;9;NA;Fishbase;
Pseudocheilinus hexataenia;10;NA;Fishbase;
Pseudocheilinus ocellatus;10.3;NA;Fishbase;
Pseudocheilinus octotaenia;14;NA;Fishbase;
Pseudocheilinus tetrataenia;7.5;NA;Fishbase;
Pseudocoris aequalis;11.2;NA;Fishbase;
Pseudocoris aurantiofasciata;20;NA;Fishbase;
Pseudocoris bleekeri;15;NA;Fishbase;
Pseudocoris heteroptera;20;15;Fishbase;
Pseudocoris ocellata;11.1;NA;Fishbase;
Pseudocoris yamashiroi;16;NA;Fishbase;
Pseudodax moluccanus;30;NA;Fishbase;
Pseudogramma axelrodi;6.1;NA;Fishbase;
Pseudogramma thaumasium;8.4;NA;Fishbase;
Pseudojuloides argyreogaster;8.8;NA;IUCN;
Pseudojuloides atavai;13;NA;Fishbase;
Pseudojuloides ceracinus;12.3;NA;Fishbase;
Pseudojuloides elongatus;14;NA;Fishbase;
Pseudojuloides erythrops;10;NA;Fishbase;
Pseudojuloides kaleidos;10;NA;Fishbase;
Pseudojuloides mesostigma;7;NA;Fishbase;
Pseudojuloides pyrius;7.2;NA;Fishbase;
Pseudojuloides severnsi;9.1;NA;Fishbase;
Pseudojuloides xanthomos;6.5;NA;Fishbase;
Pseudolabrus biserialis;17.2;NA;Fishbase;
Pseudolabrus eoethinus;20;NA;Fishbase;
Pseudolabrus fuentesi;16.5;NA;Fishbase;
Pseudolabrus gayi;9.7;NA;Fishbase;
Pseudolabrus guentheri;18;NA;Fishbase;
Pseudolabrus luculentus;17;NA;Fishbase;
Pseudolabrus miles;27.2;NA;Fishbase;
Pseudolabrus mortonii;20;NA;Fishbase;
Pseudolabrus semifasciatus;25;NA;Fishbase;
Pseudolabrus sieboldi;NA;NA;Fishbase;
Pseudolabrus torotai;15.8;NA;Fishbase;
Pteragogus aurigarius;17;NA;Fishbase;
Pteragogus cryptus;9.5;NA;Fishbase;
Pteragogus enneacanthus;15;NA;Fishbase;
Pteragogus flagellifer;20;NA;Fishbase;
Pteragogus guttatus;9;NA;Fishbase;
Pteragogus pelycus;15;NA;Fishbase;
Pteragogus taeniops;15;NA;Fishbase;
Pterothrissus belloci;40;33;Fishbase;
Pterothrissus gissu;50;NA;Fishbase;
Pygoplites diacanthus;25;NA;Fishbase;
Rastrelliger brachysoma;34.5;20;Fishbase;
Rastrelliger faughni;20;NA;Fishbase;
Rastrelliger kanagurta;38;25;Fishbase;
Roa australis;11.9;NA;Fishbase;
Roa excelsa;15;NA;Fishbase;
Roa jayakari;16;NA;Fishbase;
Roa modestus;17;NA;Fishbase;
Rypticus bicolor;28;NA;Fishbase;
Rypticus courtenayi;19;NA;Fishbase;
Rypticus nigripinnis;20.3;NA;Fishbase;
Sarda australis;180;45;Fishbase;
Sarda chiliensis;102;NA;Fishbase;
Sarda orientalis;102;55;Fishbase;
Sarda sarda;91.4;50;Fishbase;
Scarus altipinnis;60;41;Fishbase;
Scarus arabicus;45;NA;Fishbase;
Scarus caudofasciatus;50;NA;Fishbase;
Scarus chameleon;31;24.8;Fishbase;
Scarus chinensis;NA;NA;Fishbase;
Scarus coelestinus;77;50;Fishbase;
Scarus coeruleus;120;35;Fishbase;
Scarus collana;33;NA;Fishbase;
Scarus compressus;68;35;Fishbase;
Scarus dimidiatus;40;NA;Fishbase;
Scarus dubius;35.6;NA;Fishbase;
Scarus falcipinnis;60;NA;Fishbase;
Scarus ferrugineus;41;25;Fishbase;
Scarus festivus;45;NA;Fishbase;
Scarus flavipectoralis;40;NA;Fishbase;
Scarus forsteni;55;NA;Fishbase;
Scarus frenatus;47;NA;Fishbase;
Scarus fuscocaudalis;25;NA;Fishbase;
Scarus fuscopurpureus;38;NA;Fishbase;
Scarus ghobban;90;30;Fishbase;
Scarus globiceps;45;NA;Fishbase;
Scarus guacamaia;120;70;Fishbase;
Scarus hoefleri;60;40;Fishbase;
Scarus hypselopterus;31;NA;Fishbase;
Scarus iseri;35;18;Fishbase;
Scarus koputea;31;NA;Fishbase;
Scarus longipinnis;40;NA;Fishbase;
Scarus maculipinna;19;NA;Fishbase;
Scarus niger;40;NA;Fishbase;
Scarus obishime;70;NA;Fishbase;
Scarus oviceps;35;NA;Fishbase;
Scarus ovifrons;90;NA;wikipédia;
Scarus perrico;76;NA;Fishbase;
Scarus persicus;50;NA;Fishbase;
Scarus prasiognathos;70;NA;Fishbase;
Scarus psittacus;30;NA;Fishbase;
Scarus pyrrostethus;90;30;Fishbase;
Scarus quoyi;40;NA;Fishbase;
Scarus rivulatus;40;20;Fishbase;
Scarus rubroviolaceus;70;NA;Fishbase;
Scarus russelii;51;NA;Fishbase;
Scarus scaber;37;NA;Fishbase;
Scarus schlegeli;40;NA;Fishbase;
Scarus spinus;30;NA;Fishbase;
Scarus taeniopterus;35;22;Fishbase;
Scarus tricolor;26.6;17.5;Fishbase;
Scarus trispinosus;35.5;NA;Fishbase;
Scarus vetula;61;32;Fishbase;
Scarus viridifucatus;45;NA;Fishbase;
Scarus xanthopleura;54;NA;Fishbase;
Scarus zelindae;33.2;NA;Fishbase;
Scarus zufar;50;NA;Fishbase;
Scomber australasicus;44;30;Fishbase;
Scomber colias;64;50;Fishbase;
Scomber japonicus;64;30;Fishbase;
Scomber scombrus;60;30;Fishbase;
Scomberomorus brasiliensis;125;65;Fishbase;
Scomberomorus cavalla;184;70;Fishbase;
Scomberomorus commerson;240;120;Fishbase;
Scomberomorus concolor;77;NA;Fishbase;
Scomberomorus guttatus;76;55;Fishbase;
Scomberomorus koreanus;150;60;Fishbase;
Scomberomorus lineolatus;94;70;Fishbase;
Scomberomorus maculatus;91;NA;Fishbase;
Scomberomorus multiradiatus;35;NA;Fishbase;
Scomberomorus munroi;104;NA;Fishbase;
Scomberomorus niphonius;100;NA;Fishbase;
Scomberomorus plurilineatus;120;NA;Fishbase;
Scomberomorus queenslandicus;100;80;Fishbase;
Scomberomorus regalis;183;NA;Fishbase;
Scomberomorus semifasciatus;120;NA;Fishbase;
Scomberomorus sierra;99;60;Fishbase;
Scomberomorus sinensis;247;100;Fishbase;
Scomberomorus tritor;100;75;Fishbase;
Semicossyphus darwini;70;NA;Fishbase;
Serranus aequidens;20;NA;Fishbase;
Serranus atricauda;43.2;25;Fishbase;
Serranus huascarii;20;NA;Fishbase;
Serranus psittacinus;18;NA;Fishbase;
Serranus socorroensis;8;NA;Fishbase;
Serranus stilbostigma;20;NA;Fishbase;
Serranus tico;8.5;NA;Fishbase;
Siphonognathus argyrophanes;40;NA;Fishbase;
Siphonognathus attenuatus;12;NA;Fishbase;
Siphonognathus beddomei;12;NA;Fishbase;
Siphonognathus caninis;10;NA;Fishbase;
Siphonognathus radiatus;18;NA;Fishbase;
Siphonognathus tanyourus;11;NA;Fishbase;
Sparisoma amplum;39;NA;Fishbase;
Sparisoma atomarium;25;NA;Fishbase;
Sparisoma aurofrenatum;28;20;Fishbase;
Sparisoma axillare;37;NA;Fishbase;
Sparisoma chrysopterum;46;25;Fishbase;
Sparisoma cretense;50;30;Fishbase;
Sparisoma frondosum;34.5;NA;Fishbase;
Sparisoma griseorubrum;NA;NA;Fishbase;
Sparisoma radians;20;15;Fishbase;
Sparisoma rubripinne;47.8;NA;Fishbase;
Sparisoma strigatum;45;NA;Fishbase;
Sparisoma tuiupiranga;15.4;NA;Fishbase;
Sparisoma viride;64;38;Fishbase;
Stethojulis albovittata;14;NA;Fishbase;
Stethojulis balteata;15;NA;Fishbase;
Stethojulis bandanensis;15;NA;Fishbase;
Stethojulis interrupta;13;NA;Fishbase;
Stethojulis maculata;16;NA;Fishbase;
Stethojulis marquesensis;8.5;NA;Fishbase;
Stethojulis notialis;7.4;NA;Fishbase;
Stethojulis strigiventer;15;NA;Fishbase;
Stethojulis terina;12.6;NA;Fishbase;
Stethojulis trilineata;15;NA;Fishbase;
Suezichthys arquatus;13.5;NA;Fishbase;
Suezichthys aylingi;11.7;NA;Fishbase;
Suezichthys bifurcatus;9;NA;Fishbase;
Suezichthys caudavittatus;12;NA;Fishbase;
Suezichthys cyanolaemus;9.7;NA;Fishbase;
Suezichthys devisi;14;NA;Fishbase;
Suezichthys gracilis;16;NA;Fishbase;
Suezichthys notatus;14.2;NA;Fishbase;
Suezichthys russelli;7.5;NA;Fishbase;
Suezichthys soelae;10.3;NA;Fishbase;
Symphodus bailloni;20;18;Fishbase;
Symphodus cinereus;16;8;Fishbase;
Symphodus doderleini;10;NA;Fishbase;
Symphodus mediterraneus;18;12;Fishbase;
Symphodus melanocercus;14;11;Fishbase;
Symphodus melops;28;20;Fishbase;
Symphodus ocellatus;12;NA;Fishbase;
Symphodus roissali;17;12;Fishbase;
Symphodus rostratus;13;NA;Fishbase;
Symphodus tinca;44;25;Fishbase;
Tautoga onitis;91;NA;Fishbase;
Tautogolabrus adspersus;38;NA;Fishbase;
Terelabrus rubrovittatus;12;NA;Fishbase;
Thalassoma amblycephalum;16;NA;Fishbase;
Thalassoma ascensionis;10;NA;Fishbase;
Thalassoma ballieui;39.5;NA;Fishbase;
Thalassoma bifasciatum;25;NA;Fishbase;
Thalassoma cupido;20;14;Fishbase;
Thalassoma duperrey;28;NA;Fishbase;
Thalassoma genivittatum;20;NA;Fishbase;
Thalassoma grammaticum;32;NA;Fishbase;
Thalassoma hardwicke;20;15;Fishbase;
Thalassoma hebraicum;23;NA;Fishbase;
Thalassoma heiseri;11.6;NA;Fishbase;
Thalassoma jansenii;20;NA;Fishbase;
Thalassoma loxum;18;NA;Fishbase;
Thalassoma lucasanum;15;NA;Fishbase;
Thalassoma lunare;45;NA;Fishbase;
Thalassoma lutescens;30;NA;Fishbase;
Thalassoma newtoni;NA;NA;Fishbase;
Thalassoma nigrofasciatum;20;NA;Fishbase;
Thalassoma noronhanum;13.3;NA;Fishbase;
Thalassoma pavo;25;20;Fishbase;
Thalassoma purpureum;46;NA;Fishbase;
Thalassoma quinquevittatum;17;NA;Fishbase;
Thalassoma robertsoni;7.8;NA;Fishbase;
Thalassoma rueppellii;20;NA;Fishbase;
Thalassoma sanctaehelenae;NA;NA;Fishbase;
Thalassoma septemfasciatum;31;NA;Fishbase;
Thalassoma trilobatum;30;NA;Fishbase;
Thalassoma virens;30;NA;Fishbase;
Thunnus alalunga;140;100;Fishbase;
Thunnus albacares;239;150;Fishbase;
Thunnus atlanticus;108;72;Fishbase;
Thunnus maccoyii;245;160;Fishbase;
Thunnus obesus;250;180;Fishbase;
Thunnus orientalis;300;200;Fishbase;
Thunnus thynnus;458;200;Fishbase;
Thunnus tonggol;145;70;Fishbase;
Wetmorella albofasciata;6;NA;Fishbase;
Wetmorella nigropinnata;8;NA;Fishbase;
Wetmorella tanakai;3.7;NA;Fishbase;
Xenojulis margaritaceus;10;NA;Fishbase;
Xiphocheilus typus;12;NA;Fishbase;
Xyrichtys blanchardi;21.2;NA;Fishbase;
Xyrichtys halsteadi;12;NA;Fishbase;
Xyrichtys incandescens;NA;NA;Fishbase;
Xyrichtys koteamea;25.9;NA;Fishbase;
Xyrichtys martinicensis;15;NA;Fishbase;
Xyrichtys mundiceps;14.5;NA;Fishbase;
Xyrichtys novacula;38;20;Fishbase;
Xyrichtys pastellus;11.7;NA;Fishbase;
Xyrichtys rajagopalani;NA;NA;Fishbase;
Xyrichtys sanctaehelenae;23.3;NA;Fishbase;
Xyrichtys sciistius;6.2;NA;Fishbase;
Xyrichtys splendens;17.5;NA;Fishbase;
Xyrichtys victori;15;NA;Fishbase;
Xyrichtys wellingtoni;7.2;NA;Fishbase;
Xyrichtys woodi;19.3;NA;Fishbase;
Zebrasoma desjardinii;40;32;Fishbase;
Zebrasoma flavescens;20;NA;Fishbase;
Zebrasoma gemmatum;22;NA;Fishbase;
Zebrasoma rostratum;21;NA;Fishbase;
Zebrasoma scopas;40;NA;Fishbase;
Zebrasoma veliferum;40;NA;Fishbase;
Zebrasoma xanthurum;22;10;Fishbase;
