Source;Target
Unidentified crustacean;gastropod
Ceratoscopelus maderensis;gastropod
Cynoglossus sp.;gastropod
Lampanyctus crocodilus;gastropod
Notolepis rissoi;gastropod
amphipod;gelatinous
Bivalve;gelatinous
Calliopius sp.;gelatinous
Clupea pallasii;gelatinous
Copepod copepodite;gelatinous
Copepod egg;gelatinous
copepod nauplius;gelatinous
E.superba furcilia;gelatinous
Euphausa superba;gelatinous
euphausia;gelatinous
gastropod;gelatinous
Hyperidae;gelatinous
Insects;gelatinous
Notothenia gibberifrons;gelatinous
Notothenia neglecta;gelatinous
Nototheniops larseni;gelatinous
Ophidion elongatus;gelatinous
Pleuragramma antarcticum;gelatinous
Roundworm;gelatinous
Schistomysis spiritus;gelatinous
Theragra chalcogramma;gelatinous
Thysanoessa inermis;gelatinous
Thysanoessa macrura;gelatinous
Thysanoessa raschii;gelatinous
Thysanoessa spinefera;gelatinous
Acanthocepola sp.;gelatinous
Ammodytes hexapterus;gelatinous
Anarhichas lupus;gelatinous
Benthosema glaciale;gelatinous
Carangoides sp.;gelatinous
Ceratoscopelus maderensis;gelatinous
Chionodraco rastrospinosus;gelatinous
Cynoglossus sp.;gelatinous
Diaphus garmani;gelatinous
Hemilepidotus spinosus;gelatinous
Hygophum benoiti;gelatinous
Lampanyctus crocodilus;gelatinous
Lumpenella longirostris;gelatinous
Lumpenus sagitta;gelatinous
Merluccius productus;gelatinous
Myctophum asperum;gelatinous
Myctophum punctatum;gelatinous
Notolepis rissoi;gelatinous
Psychrolutes paradoxus;gelatinous
Rhamphocottus richardsoni;gelatinous
Scorpaenodes sp.;gelatinous
Sebastes sp.;gelatinous
Calanoides acutus;Glyptocephalus cynoglossus
Clupea pallasii;Glyptocephalus cynoglossus
copepod;Glyptocephalus cynoglossus
Copepod egg;Glyptocephalus cynoglossus
crab megalope;Glyptocephalus cynoglossus
Decapod zoea;Glyptocephalus cynoglossus
Eucalanus bungii;Glyptocephalus cynoglossus
Lumpenus sagitta;Glyptocephalus cynoglossus
Rhincalanus gigas;Glyptocephalus cynoglossus
Roundworm;Glyptocephalus cynoglossus
Schistomysis spiritus;Glyptocephalus cynoglossus
Theragra chalcogramma;Glyptocephalus cynoglossus
Thysanoessa inermis;Glyptocephalus cynoglossus
Thysanoessa spinefera;Glyptocephalus cynoglossus
Acanthocepola sp.;Glyptocephalus cynoglossus
Benthosema glaciale;Glyptocephalus cynoglossus
Carangoides sp.;Glyptocephalus cynoglossus
Ceratoscopelus maderensis;Glyptocephalus cynoglossus
Cynoglossus sp.;Glyptocephalus cynoglossus
Diaphus garmani;Glyptocephalus cynoglossus
Hygophum benoiti;Glyptocephalus cynoglossus
Lampanyctus crocodilus;Glyptocephalus cynoglossus
Notolepis rissoi;Glyptocephalus cynoglossus
Scorpaenodes sp.;Glyptocephalus cynoglossus
Calanoides acutus;Goby
Calanus propinquus;Goby
Calanus sp.;Goby
Clupea pallasii;Goby
copepod;Goby
Copepod egg;Goby
crab megalope;Goby
Decapod zoea;Goby
Eucalanus bungii;Goby
isopod;Goby
Lumpenus sagitta;Goby
Rhincalanus gigas;Goby
Roundworm;Goby
Schistomysis spiritus;Goby
Theragra chalcogramma;Goby
Thysanoessa inermis;Goby
Thysanoessa spinefera;Goby
Benthosema glaciale;Goby
Carangoides sp.;Goby
Ceratoscopelus maderensis;Goby
Cynoglossus sp.;Goby
Diaphus garmani;Goby
Lampanyctus crocodilus;Goby
Notolepis rissoi;Goby
Scorpaenodes sp.;Goby
amphipod;Gonatus steenstrupi
Benthosema glaciale;Gonatus steenstrupi
Bivalve;Gonatus steenstrupi
Calliopius sp.;Gonatus steenstrupi
Chaetognatha;Gonatus steenstrupi
Copepod copepodite;Gonatus steenstrupi
copepod nauplius;Gonatus steenstrupi
crustacean larva;Gonatus steenstrupi
E.superba furcilia;Gonatus steenstrupi
Euphausa superba;Gonatus steenstrupi
euphausia;Gonatus steenstrupi
Euphausid furcilia;Gonatus steenstrupi
fish larvae;Gonatus steenstrupi
gastropod;Gonatus steenstrupi
Glyptocephalus cynoglossus;Gonatus steenstrupi
Goby;Gonatus steenstrupi
Gonostomatidae sp.;Gonatus steenstrupi
Hyperidae;Gonatus steenstrupi
Insects;Gonatus steenstrupi
Lepidotrigla cavillone;Gonatus steenstrupi
Loligo pealei or Illex illecebrosus;Gonatus steenstrupi
Maurolicus muelleri;Gonatus steenstrupi
Meganyctiphanes norvegica;Gonatus steenstrupi
Mysidacea;Gonatus steenstrupi
Notothenia gibberifrons;Gonatus steenstrupi
Notothenia neglecta;Gonatus steenstrupi
Nototheniops larseni;Gonatus steenstrupi
Ophidion elongatus;Gonatus steenstrupi
Parathemisto gaudichaudi;Gonatus steenstrupi
Pleuragramma antarcticum;Gonatus steenstrupi
Roundworm;Gonatus steenstrupi
silversides, anchovies and 'other fish prey';Gonatus steenstrupi
Themisto pacifica;Gonatus steenstrupi
Theragra chalcogramma;Gonatus steenstrupi
Thysanoessa macrura;Gonatus steenstrupi
Thysanoessa raschii;Gonatus steenstrupi
Acanthocepola sp.;Gonatus steenstrupi
Ammodytes hexapterus;Gonatus steenstrupi
Anarhichas lupus;Gonatus steenstrupi
Anarhichas minor;Gonatus steenstrupi
Carangoides sp.;Gonatus steenstrupi
Chionodraco rastrospinosus;Gonatus steenstrupi
Diaphus garmani;Gonatus steenstrupi
Dicentrarchus labrax;Gonatus steenstrupi
Gilbertidia sigalutes;Gonatus steenstrupi
Hemilepidotus hemilepidotus;Gonatus steenstrupi
Hemilepidotus spinosus;Gonatus steenstrupi
Hexagrammos decagrammus;Gonatus steenstrupi
Hygophum benoiti;Gonatus steenstrupi
Lumpenella longirostris;Gonatus steenstrupi
Lumpenus sagitta;Gonatus steenstrupi
Merluccius productus;Gonatus steenstrupi
Myctophum asperum;Gonatus steenstrupi
Myctophum punctatum;Gonatus steenstrupi
Nototheniops larseni;Gonatus steenstrupi
Oncorhynchus gorbuscha;Gonatus steenstrupi
Ophiodon elongatus;Gonatus steenstrupi
Pleuragramma antarcticum;Gonatus steenstrupi
Psychrolutes paradoxus;Gonatus steenstrupi
Rhamphocottus richardsoni;Gonatus steenstrupi
Scorpaenodes sp.;Gonatus steenstrupi
Sebastes sp.;Gonatus steenstrupi
Theragra chalcogramma;Gonatus steenstrupi
Clupea pallasii;Gonostomatidae sp.
Copepod egg;Gonostomatidae sp.
Eucalanus bungii;Gonostomatidae sp.
Lumpenus sagitta;Gonostomatidae sp.
Rhincalanus gigas;Gonostomatidae sp.
Roundworm;Gonostomatidae sp.
Schistomysis spiritus;Gonostomatidae sp.
Theragra chalcogramma;Gonostomatidae sp.
Thysanoessa inermis;Gonostomatidae sp.
Thysanoessa spinefera;Gonostomatidae sp.
Acanthocepola sp.;Gonostomatidae sp.
Benthosema glaciale;Gonostomatidae sp.
Carangoides sp.;Gonostomatidae sp.
Ceratoscopelus maderensis;Gonostomatidae sp.
Cynoglossus sp.;Gonostomatidae sp.
Diaphus garmani;Gonostomatidae sp.
Hygophum benoiti;Gonostomatidae sp.
Lampanyctus crocodilus;Gonostomatidae sp.
Myctophum asperum;Gonostomatidae sp.
Myctophum punctatum;Gonostomatidae sp.
Notolepis rissoi;Gonostomatidae sp.
Scorpaenodes sp.;Gonostomatidae sp.
amphipod;Gurnard
Benthosema glaciale;Gurnard
Bivalve;Gurnard
Calliopius sp.;Gurnard
Copepod copepodite;Gurnard
Copepod egg;Gurnard
copepod nauplius;Gurnard
crustacean larva;Gurnard
E.superba furcilia;Gurnard
Euphausa superba;Gurnard
euphausia;Gurnard
fish larvae;Gurnard
gastropod;Gurnard
Goby;Gurnard
Hyperidae;Gurnard
Insects;Gurnard
Loligo pealei or Illex illecebrosus;Gurnard
Meganyctiphanes norvegica;Gurnard
Notothenia gibberifrons;Gurnard
Notothenia neglecta;Gurnard
Nototheniops larseni;Gurnard
Ophidion elongatus;Gurnard
Pleuragramma antarcticum;Gurnard
Roundworm;Gurnard
Themisto pacifica;Gurnard
Theragra chalcogramma;Gurnard
Thysanoessa inermis;Gurnard
Thysanoessa macrura;Gurnard
Thysanoessa raschii;Gurnard
Thysanoessa spinefera;Gurnard
Acanthocepola sp.;Gurnard
Ammodytes hexapterus;Gurnard
Anarhichas lupus;Gurnard
Anarhichas minor;Gurnard
Benthosema glaciale;Gurnard
Carangoides sp.;Gurnard
Ceratoscopelus maderensis;Gurnard
Chionodraco rastrospinosus;Gurnard
Diaphus garmani;Gurnard
Dicentrarchus labrax;Gurnard
Gilbertidia sigalutes;Gurnard
Hemilepidotus hemilepidotus;Gurnard
Hemilepidotus spinosus;Gurnard
Hygophum benoiti;Gurnard
Lumpenella longirostris;Gurnard
Lumpenus sagitta;Gurnard
Merluccius productus;Gurnard
Myctophum asperum;Gurnard
Myctophum punctatum;Gurnard
Notolepis rissoi;Gurnard
Nototheniops larseni;Gurnard
Oncorhynchus gorbuscha;Gurnard
Ophiodon elongatus;Gurnard
Psychrolutes paradoxus;Gurnard
Rhamphocottus richardsoni;Gurnard
Scorpaenodes sp.;Gurnard
Sebastes sp.;Gurnard
Agonus cataphractus;Haliphron atlanticus
amphipod;Haliphron atlanticus
Arctozenus risso;Haliphron atlanticus
Benthosema glaciale;Haliphron atlanticus
Bivalve;Haliphron atlanticus
Buglossidium luteum;Haliphron atlanticus
Callionymus maculatus;Haliphron atlanticus
Calliopius sp.;Haliphron atlanticus
Capros aper;Haliphron atlanticus
Ceratoscopelus maderensis;Haliphron atlanticus
Chaetognatha;Haliphron atlanticus
Clupeoid;Haliphron atlanticus
Copepod copepodite;Haliphron atlanticus
copepod nauplius;Haliphron atlanticus
crustacean larva;Haliphron atlanticus
Deltentosteus quadrimaculatus;Haliphron atlanticus
E.superba furcilia;Haliphron atlanticus
Euphausa superba;Haliphron atlanticus
euphausia;Haliphron atlanticus
Euphausid furcilia;Haliphron atlanticus
fish larvae;Haliphron atlanticus
Gadiculus argenteus;Haliphron atlanticus
Gadiculus sp.;Haliphron atlanticus
Gaidropsarus sp.;Haliphron atlanticus
Gaidropsarus vulgaris;Haliphron atlanticus
gastropod;Haliphron atlanticus
gelatinous;Haliphron atlanticus
Glyptocephalus cynoglossus;Haliphron atlanticus
Goby;Haliphron atlanticus
Gonostomatidae sp.;Haliphron atlanticus
Hatchet fish;Haliphron atlanticus
Hyperidae;Haliphron atlanticus
Insects;Haliphron atlanticus
Lepidotrigla cavillone;Haliphron atlanticus
Lobianchia gemellari;Haliphron atlanticus
Loligo pealei or Illex illecebrosus;Haliphron atlanticus
Macroparalepis affinis;Haliphron atlanticus
Maurolicus muelleri;Haliphron atlanticus
Meganyctiphanes norvegica;Haliphron atlanticus
Myctophid;Haliphron atlanticus
Myctophum punctatum;Haliphron atlanticus
Mysidacea;Haliphron atlanticus
Notothenia gibberifrons;Haliphron atlanticus
Notothenia neglecta;Haliphron atlanticus
Nototheniops larseni;Haliphron atlanticus
Ophidion elongatus;Haliphron atlanticus
Paralepididae sp;Haliphron atlanticus
Parathemisto gaudichaudi;Haliphron atlanticus
Rockling;Haliphron atlanticus
Scaldfish;Haliphron atlanticus
Scyliorhinus canicula;Haliphron atlanticus
Sepiolidae;Haliphron atlanticus
Serranus hepatus;Haliphron atlanticus
silversides, anchovies and 'other fish prey';Haliphron atlanticus
Themisto pacifica;Haliphron atlanticus
Thysanoessa macrura;Haliphron atlanticus
Thysanoessa raschii;Haliphron atlanticus
Ammodytes hexapterus;Haliphron atlanticus
Anarhichas lupus;Haliphron atlanticus
Anarhichas minor;Haliphron atlanticus
Chionodraco rastrospinosus;Haliphron atlanticus
Dicentrarchus labrax;Haliphron atlanticus
Gasterosteus aculeatus;Haliphron atlanticus
Gilbertidia sigalutes;Haliphron atlanticus
Hemilepidotus hemilepidotus;Haliphron atlanticus
Hemilepidotus spinosus;Haliphron atlanticus
Hexagrammos decagrammus;Haliphron atlanticus
Lumpenella longirostris;Haliphron atlanticus
Lumpenus sagitta;Haliphron atlanticus
Merluccius productus;Haliphron atlanticus
Nototheniops larseni;Haliphron atlanticus
Oncorhynchus gorbuscha;Haliphron atlanticus
Oncorhynchus keta;Haliphron atlanticus
Ophiodon elongatus;Haliphron atlanticus
Pleuragramma antarcticum;Haliphron atlanticus
Psychrolutes paradoxus;Haliphron atlanticus
Rhamphocottus richardsoni;Haliphron atlanticus
Sebastes sp.;Haliphron atlanticus
Theragra chalcogramma;Haliphron atlanticus
Radiolaria;Harpacticoid
amphipod;Hatchet fish
Bivalve;Hatchet fish
Calliopius sp.;Hatchet fish
Clupea pallasii;Hatchet fish
Copepod copepodite;Hatchet fish
Copepod egg;Hatchet fish
copepod nauplius;Hatchet fish
E.superba furcilia;Hatchet fish
Euphausa superba;Hatchet fish
euphausia;Hatchet fish
gastropod;Hatchet fish
Hyperidae;Hatchet fish
Insects;Hatchet fish
Notothenia neglecta;Hatchet fish
Nototheniops larseni;Hatchet fish
Ophidion elongatus;Hatchet fish
Pleuragramma antarcticum;Hatchet fish
Roundworm;Hatchet fish
Schistomysis spiritus;Hatchet fish
Theragra chalcogramma;Hatchet fish
Thysanoessa inermis;Hatchet fish
Thysanoessa macrura;Hatchet fish
Thysanoessa raschii;Hatchet fish
Thysanoessa spinefera;Hatchet fish
Acanthocepola sp.;Hatchet fish
Ammodytes hexapterus;Hatchet fish
Benthosema glaciale;Hatchet fish
Carangoides sp.;Hatchet fish
Ceratoscopelus maderensis;Hatchet fish
Chionodraco rastrospinosus;Hatchet fish
Cynoglossus sp.;Hatchet fish
Diaphus garmani;Hatchet fish
Hemilepidotus spinosus;Hatchet fish
Hygophum benoiti;Hatchet fish
Lampanyctus crocodilus;Hatchet fish
Lumpenella longirostris;Hatchet fish
Lumpenus sagitta;Hatchet fish
Merluccius productus;Hatchet fish
Myctophum asperum;Hatchet fish
Myctophum punctatum;Hatchet fish
Notolepis rissoi;Hatchet fish
Rhamphocottus richardsoni;Hatchet fish
Scorpaenodes sp.;Hatchet fish
Sebastes sp.;Hatchet fish
Pteropod;Heterorhabdus sp.
Radiolaria;Heterorhabdus sp.
Agonus cataphractus;Hippoglossina oblonga
amphipod;Hippoglossina oblonga
Arctozenus risso;Hippoglossina oblonga
Benthosema glaciale;Hippoglossina oblonga
Bivalve;Hippoglossina oblonga
Buglossidium luteum;Hippoglossina oblonga
Callionymus maculatus;Hippoglossina oblonga
Calliopius sp.;Hippoglossina oblonga
Capros aper;Hippoglossina oblonga
Ceratoscopelus maderensis;Hippoglossina oblonga
Chaetognatha;Hippoglossina oblonga
Clupeoid;Hippoglossina oblonga
Copepod copepodite;Hippoglossina oblonga
copepod nauplius;Hippoglossina oblonga
crustacean larva;Hippoglossina oblonga
Deltentosteus quadrimaculatus;Hippoglossina oblonga
E.superba furcilia;Hippoglossina oblonga
Euphausa superba;Hippoglossina oblonga
euphausia;Hippoglossina oblonga
Euphausid furcilia;Hippoglossina oblonga
fish larvae;Hippoglossina oblonga
Gadiculus argenteus;Hippoglossina oblonga
Gadiculus sp.;Hippoglossina oblonga
Gaidropsarus sp.;Hippoglossina oblonga
Gaidropsarus vulgaris;Hippoglossina oblonga
gastropod;Hippoglossina oblonga
gelatinous;Hippoglossina oblonga
Glyptocephalus cynoglossus;Hippoglossina oblonga
Goby;Hippoglossina oblonga
Gonostomatidae sp.;Hippoglossina oblonga
Hatchet fish;Hippoglossina oblonga
Hyperidae;Hippoglossina oblonga
Insects;Hippoglossina oblonga
Lepidotrigla cavillone;Hippoglossina oblonga
Lobianchia gemellari;Hippoglossina oblonga
Loligo pealei or Illex illecebrosus;Hippoglossina oblonga
Macroparalepis affinis;Hippoglossina oblonga
Maurolicus muelleri;Hippoglossina oblonga
Meganyctiphanes norvegica;Hippoglossina oblonga
Myctophid;Hippoglossina oblonga
Myctophum punctatum;Hippoglossina oblonga
Mysidacea;Hippoglossina oblonga
Notothenia gibberifrons;Hippoglossina oblonga
Notothenia neglecta;Hippoglossina oblonga
Nototheniops larseni;Hippoglossina oblonga
Ophidion elongatus;Hippoglossina oblonga
Paralepididae sp;Hippoglossina oblonga
Parathemisto gaudichaudi;Hippoglossina oblonga
Rockling;Hippoglossina oblonga
Scaldfish;Hippoglossina oblonga
Scyliorhinus canicula;Hippoglossina oblonga
Sepiolidae;Hippoglossina oblonga
Serranus hepatus;Hippoglossina oblonga
silversides, anchovies and 'other fish prey';Hippoglossina oblonga
Themisto pacifica;Hippoglossina oblonga
Thysanoessa macrura;Hippoglossina oblonga
Thysanoessa raschii;Hippoglossina oblonga
Ammodytes hexapterus;Hippoglossina oblonga
Anarhichas lupus;Hippoglossina oblonga
Anarhichas minor;Hippoglossina oblonga
Chionodraco rastrospinosus;Hippoglossina oblonga
Dicentrarchus labrax;Hippoglossina oblonga
Gasterosteus aculeatus;Hippoglossina oblonga
Gilbertidia sigalutes;Hippoglossina oblonga
Hemilepidotus hemilepidotus;Hippoglossina oblonga
Hemilepidotus spinosus;Hippoglossina oblonga
Hexagrammos decagrammus;Hippoglossina oblonga
Lumpenella longirostris;Hippoglossina oblonga
Lumpenus sagitta;Hippoglossina oblonga
Merluccius productus;Hippoglossina oblonga
Nototheniops larseni;Hippoglossina oblonga
Oncorhynchus gorbuscha;Hippoglossina oblonga
Oncorhynchus keta;Hippoglossina oblonga
Ophiodon elongatus;Hippoglossina oblonga
Pleuragramma antarcticum;Hippoglossina oblonga
Psychrolutes paradoxus;Hippoglossina oblonga
Rhamphocottus richardsoni;Hippoglossina oblonga
Sebastes sp.;Hippoglossina oblonga
Theragra chalcogramma;Hippoglossina oblonga
amphipod;Hippoglossoides platessoides
Benthosema glaciale;Hippoglossoides platessoides
Bivalve;Hippoglossoides platessoides
Calliopius sp.;Hippoglossoides platessoides
Copepod copepodite;Hippoglossoides platessoides
Copepod egg;Hippoglossoides platessoides
copepod nauplius;Hippoglossoides platessoides
crustacean larva;Hippoglossoides platessoides
E.superba furcilia;Hippoglossoides platessoides
Euphausa superba;Hippoglossoides platessoides
euphausia;Hippoglossoides platessoides
fish larvae;Hippoglossoides platessoides
gastropod;Hippoglossoides platessoides
Glyptocephalus cynoglossus;Hippoglossoides platessoides
Goby;Hippoglossoides platessoides
Hyperidae;Hippoglossoides platessoides
Insects;Hippoglossoides platessoides
Loligo pealei or Illex illecebrosus;Hippoglossoides platessoides
Maurolicus muelleri;Hippoglossoides platessoides
Meganyctiphanes norvegica;Hippoglossoides platessoides
Notothenia gibberifrons;Hippoglossoides platessoides
Notothenia neglecta;Hippoglossoides platessoides
Nototheniops larseni;Hippoglossoides platessoides
Ophidion elongatus;Hippoglossoides platessoides
Pleuragramma antarcticum;Hippoglossoides platessoides
Roundworm;Hippoglossoides platessoides
Themisto pacifica;Hippoglossoides platessoides
Theragra chalcogramma;Hippoglossoides platessoides
Thysanoessa inermis;Hippoglossoides platessoides
Thysanoessa macrura;Hippoglossoides platessoides
Thysanoessa raschii;Hippoglossoides platessoides
Thysanoessa spinefera;Hippoglossoides platessoides
Acanthocepola sp.;Hippoglossoides platessoides
Ammodytes hexapterus;Hippoglossoides platessoides
Anarhichas lupus;Hippoglossoides platessoides
Anarhichas minor;Hippoglossoides platessoides
Benthosema glaciale;Hippoglossoides platessoides
Carangoides sp.;Hippoglossoides platessoides
Ceratoscopelus maderensis;Hippoglossoides platessoides
Chionodraco rastrospinosus;Hippoglossoides platessoides
Diaphus garmani;Hippoglossoides platessoides
Dicentrarchus labrax;Hippoglossoides platessoides
Gilbertidia sigalutes;Hippoglossoides platessoides
Hemilepidotus hemilepidotus;Hippoglossoides platessoides
Hemilepidotus spinosus;Hippoglossoides platessoides
Hygophum benoiti;Hippoglossoides platessoides
Lumpenella longirostris;Hippoglossoides platessoides
Lumpenus sagitta;Hippoglossoides platessoides
Merluccius productus;Hippoglossoides platessoides
Myctophum asperum;Hippoglossoides platessoides
Myctophum punctatum;Hippoglossoides platessoides
Nototheniops larseni;Hippoglossoides platessoides
Oncorhynchus gorbuscha;Hippoglossoides platessoides
Ophiodon elongatus;Hippoglossoides platessoides
Pleuragramma antarcticum;Hippoglossoides platessoides
Psychrolutes paradoxus;Hippoglossoides platessoides
Rhamphocottus richardsoni;Hippoglossoides platessoides
Scorpaenodes sp.;Hippoglossoides platessoides
Sebastes sp.;Hippoglossoides platessoides
Agonus cataphractus;Histioteuthis bonnellii
Ammodytes sp.;Histioteuthis bonnellii
amphipod;Histioteuthis bonnellii
Arctozenus risso;Histioteuthis bonnellii
Benthosema glaciale;Histioteuthis bonnellii
Bivalve;Histioteuthis bonnellii
Buglossidium luteum;Histioteuthis bonnellii
Callionymus maculatus;Histioteuthis bonnellii
Capros aper;Histioteuthis bonnellii
Ceratoscopelus maderensis;Histioteuthis bonnellii
Chaetognatha;Histioteuthis bonnellii
Clupeoid;Histioteuthis bonnellii
crustacean;Histioteuthis bonnellii
crustacean larva;Histioteuthis bonnellii
Deltentosteus quadrimaculatus;Histioteuthis bonnellii
Euphausa superba;Histioteuthis bonnellii
euphausia;Histioteuthis bonnellii
Euphausid furcilia;Histioteuthis bonnellii
fish larvae;Histioteuthis bonnellii
Funchalia woodwardii;Histioteuthis bonnellii
Gadiculus argenteus;Histioteuthis bonnellii
Gadiculus sp.;Histioteuthis bonnellii
Gadoid;Histioteuthis bonnellii
Gaidropsarus sp.;Histioteuthis bonnellii
Gaidropsarus vulgaris;Histioteuthis bonnellii
gastropod;Histioteuthis bonnellii
gelatinous;Histioteuthis bonnellii
Glyptocephalus cynoglossus;Histioteuthis bonnellii
Goby;Histioteuthis bonnellii
Gonostomatidae sp.;Histioteuthis bonnellii
Hatchet fish;Histioteuthis bonnellii
Hyperidae;Histioteuthis bonnellii
Insects;Histioteuthis bonnellii
Lepidotrigla cavillone;Histioteuthis bonnellii
Lobianchia gemellari;Histioteuthis bonnellii
Loligo pealei or Illex illecebrosus;Histioteuthis bonnellii
Macroparalepis affinis;Histioteuthis bonnellii
Maurolicus muelleri;Histioteuthis bonnellii
Meganyctiphanes norvegica;Histioteuthis bonnellii
Myctophid;Histioteuthis bonnellii
Myctophum punctatum;Histioteuthis bonnellii
Mysidacea;Histioteuthis bonnellii
Notothenia gibberifrons;Histioteuthis bonnellii
Notothenia neglecta;Histioteuthis bonnellii
Nototheniops larseni;Histioteuthis bonnellii
Octopoteuthis sp;Histioteuthis bonnellii
Ophidion elongatus;Histioteuthis bonnellii
Paralepididae sp;Histioteuthis bonnellii
Parathemisto gaudichaudi;Histioteuthis bonnellii
Rockling;Histioteuthis bonnellii
Scaldfish;Histioteuthis bonnellii
Scyliorhinus canicula;Histioteuthis bonnellii
Sepiolidae;Histioteuthis bonnellii
Serranus hepatus;Histioteuthis bonnellii
silversides, anchovies and 'other fish prey';Histioteuthis bonnellii
Sprattus sprattus;Histioteuthis bonnellii
Symbolophorus veranyi;Histioteuthis bonnellii
Themisto pacifica;Histioteuthis bonnellii
Thysanoessa raschii;Histioteuthis bonnellii
unidentified squid;Histioteuthis bonnellii
Ammodytes hexapterus;Histioteuthis bonnellii
Anarhichas lupus;Histioteuthis bonnellii
Anarhichas minor;Histioteuthis bonnellii
Chionodraco rastrospinosus;Histioteuthis bonnellii
Dicentrarchus labrax;Histioteuthis bonnellii
Gasterosteus aculeatus;Histioteuthis bonnellii
Gilbertidia sigalutes;Histioteuthis bonnellii
Hemilepidotus hemilepidotus;Histioteuthis bonnellii
Hemilepidotus spinosus;Histioteuthis bonnellii
Hexagrammos decagrammus;Histioteuthis bonnellii
Lumpenus sagitta;Histioteuthis bonnellii
Nototheniops larseni;Histioteuthis bonnellii
Oncorhynchus gorbuscha;Histioteuthis bonnellii
Oncorhynchus keta;Histioteuthis bonnellii
Ophiodon elongatus;Histioteuthis bonnellii
Pleuragramma antarcticum;Histioteuthis bonnellii
Psychrolutes paradoxus;Histioteuthis bonnellii
Rhamphocottus richardsoni;Histioteuthis bonnellii
Theragra chalcogramma;Histioteuthis bonnellii
Agonus cataphractus;Histioteuthis reversa
amphipod;Histioteuthis reversa
Benthosema glaciale;Histioteuthis reversa
Bivalve;Histioteuthis reversa
Calliopius sp.;Histioteuthis reversa
Chaetognatha;Histioteuthis reversa
Copepod copepodite;Histioteuthis reversa
copepod nauplius;Histioteuthis reversa
crustacean larva;Histioteuthis reversa
E.superba furcilia;Histioteuthis reversa
Euphausa superba;Histioteuthis reversa
euphausia;Histioteuthis reversa
Euphausid furcilia;Histioteuthis reversa
fish larvae;Histioteuthis reversa
gastropod;Histioteuthis reversa
Glyptocephalus cynoglossus;Histioteuthis reversa
Goby;Histioteuthis reversa
Gonostomatidae sp.;Histioteuthis reversa
Hyperidae;Histioteuthis reversa
Insects;Histioteuthis reversa
Lepidotrigla cavillone;Histioteuthis reversa
Loligo pealei or Illex illecebrosus;Histioteuthis reversa
Maurolicus muelleri;Histioteuthis reversa
Meganyctiphanes norvegica;Histioteuthis reversa
Mysidacea;Histioteuthis reversa
Notothenia gibberifrons;Histioteuthis reversa
Notothenia neglecta;Histioteuthis reversa
Nototheniops larseni;Histioteuthis reversa
Ophidion elongatus;Histioteuthis reversa
Parathemisto gaudichaudi;Histioteuthis reversa
Pleuragramma antarcticum;Histioteuthis reversa
Roundworm;Histioteuthis reversa
silversides, anchovies and 'other fish prey';Histioteuthis reversa
Themisto pacifica;Histioteuthis reversa
Theragra chalcogramma;Histioteuthis reversa
Thysanoessa macrura;Histioteuthis reversa
Thysanoessa raschii;Histioteuthis reversa
Acanthocepola sp.;Histioteuthis reversa
Ammodytes hexapterus;Histioteuthis reversa
Anarhichas lupus;Histioteuthis reversa
Anarhichas minor;Histioteuthis reversa
Chionodraco rastrospinosus;Histioteuthis reversa
Diaphus garmani;Histioteuthis reversa
Dicentrarchus labrax;Histioteuthis reversa
Gilbertidia sigalutes;Histioteuthis reversa
Hemilepidotus hemilepidotus;Histioteuthis reversa
Hemilepidotus spinosus;Histioteuthis reversa
Hexagrammos decagrammus;Histioteuthis reversa
Hygophum benoiti;Histioteuthis reversa
Lumpenella longirostris;Histioteuthis reversa
Lumpenus sagitta;Histioteuthis reversa
Merluccius productus;Histioteuthis reversa
Myctophum asperum;Histioteuthis reversa
Myctophum punctatum;Histioteuthis reversa
Nototheniops larseni;Histioteuthis reversa
Oncorhynchus gorbuscha;Histioteuthis reversa
Ophiodon elongatus;Histioteuthis reversa
Pleuragramma antarcticum;Histioteuthis reversa
Psychrolutes paradoxus;Histioteuthis reversa
Rhamphocottus richardsoni;Histioteuthis reversa
Scorpaenodes sp.;Histioteuthis reversa
Sebastes sp.;Histioteuthis reversa
Theragra chalcogramma;Histioteuthis reversa
brachyura larvae;Hyperidae
Calanoid copepodite;Hyperidae
Calanoides acutus;Hyperidae
Calanus pacificus;Hyperidae
Calanus propinquus;Hyperidae
Calanus sp.;Hyperidae
cladocera;Hyperidae
Cladocera;Hyperidae
Clupea pallasii;Hyperidae
copepod;Hyperidae
crab megalope;Hyperidae
Cyclopoid copepodite;Hyperidae
Decapod zoea;Hyperidae
Eucalanus bungii;Hyperidae
Eucalanus sp.;Hyperidae
Euchaeta sp.;Hyperidae
Euphausid calyptopis;Hyperidae
Heterorhabdus sp.;Hyperidae
isopod;Hyperidae
Lumpenus sagitta;Hyperidae
Metridia gerlacei;Hyperidae
Metridia sp.;Hyperidae
Oikopleura;Hyperidae
Ostracod;Hyperidae
Polychaete;Hyperidae
Rhincalanus gigas;Hyperidae
Unidentified;Hyperidae
Unidentified crustacean;Hyperidae
Cynoglossus sp.;Hyperidae
Calanoides acutus;Insects
Calanus pacificus;Insects
Calanus propinquus;Insects
Calanus sp.;Insects
cladocera;Insects
Clupea pallasii;Insects
copepod;Insects
Copepod egg;Insects
crab megalope;Insects
Cyclopoid copepodite;Insects
Decapod zoea;Insects
Eucalanus bungii;Insects
Eucalanus sp.;Insects
