"" "" "pL" "pCooc"
"4353" "SP281" "SP76" "0.99973359387114" "0"
"4354" "SP282" "SP76" "0.987753701128455" "0"
"4355" "SP283" "SP76" "0.999995678146382" "0"
"4356" "SP284" "SP76" "0.967073364652852" "0"
"4357" "SP291" "SP76" "0.827230574296763" "0.00277008310249307"
"4358" "SP301" "SP76" "0.423112090377861" NA
"4359" "SP302" "SP76" "0.464481231192575" "0"
"4360" "SP304" "SP76" "0.0583982652563978" NA
"4361" "SP310" "SP76" "0.466252196100493" "0.00138504155124654"
"4362" "SP311" "SP76" "0.484700618592424" "0.00277008310249307"
"4363" "SP312" "SP76" "0.635420569949696" "0"
"4364" "SP313" "SP76" "0.517394292064265" "0.00277008310249307"
"4365" "SP314" "SP76" "0.506166242200841" "0"
"4366" "SP315" "SP76" "0.751512690996179" NA
"4367" "SP316" "SP76" "0.293164732560627" "0.00277008310249307"
"4368" "SP317" "SP76" "0.188097836222541" "0.00277008310249307"
"4369" "SP318" "SP76" "0.394443729942794" NA
"4370" "SP319" "SP76" "0.427446190121066" "0.00138504155124654"
"4371" "SP320" "SP76" "0.645561064985543" "0"
"4372" "SP323" "SP76" "0.635420569949696" NA
"4373" "SP324" "SP76" "0.924926672497513" NA
"4374" "SP331" "SP76" "0.418839779440431" "0.00415512465373961"
"4375" "SP332" "SP76" "0.260287272792745" "0"
"4376" "SP333" "SP76" NA NA
"4377" "SP334" "SP76" "0.163439301587508" "0.00277008310249307"
"4378" "SP335" "SP76" "0.998749688732579" NA
"4379" "SP336" "SP76" "0.88637489861016" NA
"4380" "SP337" "SP76" "0.993200289112881" NA
"4381" "SP338" "SP76" "0.985928319070411" "0"
"4382" "SP339" "SP76" "0.998749688732579" NA
"4383" "SP340" "SP76" "0.861330650736501" NA
"4384" "SP341" "SP76" "0.985928319070411" "0"
"4385" "SP342" "SP76" "0.866642871522528" "0.00138504155124654"
"4386" "SP343" "SP76" "0.985928319070411" NA
"4387" "SP344" "SP76" "0.987753701128455" NA
"4388" "SP345" "SP76" "0.994301390242372" NA
"4389" "SP346" "SP76" "0.987753701128455" NA
"4390" "SP347" "SP76" "0.203948789517758" "0"
"4391" "SP350" "SP76" "0.733560976632771" NA
"4392" "SP361" "SP76" "0.960140543631429" "0"
"4393" "SP366" "SP76" "0.740689059465509" "0"
"4394" "SP367" "SP76" "0.981904865189738" NA
"4395" "SP371" "SP76" "0.19365337024855" "0"
"4396" "SP380" "SP76" "0.738900400214188" "0"
"4397" "SP381" "SP76" "0.924926672497513" "0"
"4398" "SP382" "SP76" "0.973863656990247" "0.00138504155124654"
"4399" "SP383" "SP76" "0.953532752383901" "0"
"4400" "SP384" "SP76" "0.769891055611463" NA
"4401" "SP387" "SP76" "0.34482911306486" NA
"4402" "SP391" "SP76" "0.338475807220817" NA
"4403" "SP396" "SP76" "0.34482911306486" NA
"4404" "SP461" "SP76" "0.215036765188099" NA
"4405" "SP471" "SP76" "0.484700618592424" NA
"4406" "SP472" "SP76" "0.4920673244641" NA
"4407" "SP481" "SP76" "0.457682976369344" NA
"4408" "SP482" "SP76" "0.379284649223428" NA
"4409" "SP630" "SP76" "0.996181346543347" NA
"4410" "SP631" "SP76" "0.167990084865241" NA
"4411" "SP632" "SP76" "0.100878476048032" NA
"4412" "SP633" "SP76" "0.134248093377337" NA
"4413" "SP634" "SP76" "0.960140543631429" NA
"4414" "SP702" "SP76" "0.511737802700406" "0"
"4415" "SP900" "SP76" NA "0"
"4416" "SP999" "SP76" NA "0"
"4417" "SP0" "SP77" NA NA
"4418" "SP11" "SP77" "0.760963660639445" NA
"4419" "SP12" "SP77" "0.982239422330972" NA
"4420" "SP13" "SP77" "0.71357687595755" NA
"4421" "SP14" "SP77" "0.244958272781282" NA
"4422" "SP16" "SP77" "0.725124083069997" NA
"4423" "SP21" "SP77" "0.100796980857459" NA
"4424" "SP31" "SP77" "0.0700409629472317" NA
"4425" "SP41" "SP77" "0.118282762257539" NA
"4426" "SP42" "SP77" "0.181576953591017" NA
"4427" "SP44" "SP77" "0.216314800902138" NA
"4428" "SP51" "SP77" "0.276218761130156" NA
"4429" "SP61" "SP77" "0.702234627315769" NA
"4430" "SP62" "SP77" "0.413202266148028" NA
"4431" "SP63" "SP77" "0.539783312656901" NA
"4432" "SP65" "SP77" "0.702234627315769" NA
"4433" "SP66" "SP77" "0.60002924956248" NA
"4434" "SP71" "SP77" "0.413202266148028" NA
"4435" "SP72" "SP77" "0.306217035314637" NA
"4436" "SP73" "SP77" "0.279338793626754" NA
"4437" "SP74" "SP77" "0.372307254382675" NA
"4438" "SP75" "SP77" "0.181576953591017" NA
"4439" "SP76" "SP77" "0.244958272781282" NA
"4440" "SP77" "SP77" "0.181576953591017" NA
"4441" "SP78" "SP77" "0.199803665946471" NA
"4442" "SP79" "SP77" "0.282509479467122" NA
"4443" "SP80" "SP77" "0.362989472772117" NA
"4444" "SP81" "SP77" "0.181576953591017" NA
"4445" "SP82" "SP77" "0.250252462561353" NA
"4446" "SP83" "SP77" NA NA
"4447" "SP90" "SP77" "0.636208253730711" NA
"4448" "SP91" "SP77" "0.306217035314637" NA
"4449" "SP92" "SP77" "0.642525877871735" NA
"4450" "SP93" "SP77" "0.539783312656901" NA
"4451" "SP94" "SP77" "0.736873752274185" NA
"4452" "SP95" "SP77" "0.870197231741183" NA
"4453" "SP96" "SP77" "0.760963660639445" NA
"4454" "SP97" "SP77" "0.71357687595755" NA
"4455" "SP98" "SP77" NA NA
"4456" "SP99" "SP77" "0.748822070158216" NA
"4457" "SP100" "SP77" "0.702234627315769" NA
"4458" "SP101" "SP77" "0.850423480644765" NA
"4459" "SP102" "SP77" "0.52409044524371" NA
"4460" "SP106" "SP77" "0.636208253730711" NA
"4461" "SP111" "SP77" "0.413202266148028" NA
"4462" "SP121" "SP77" "0.753655873538296" NA
"4463" "SP131" "SP77" "0.205778170076623" NA
"4464" "SP132" "SP77" "0.135713076760627" NA
"4465" "SP133" "SP77" "0.729799836899295" NA
"4466" "SP135" "SP77" "0.309834339380939" NA
"4467" "SP141" "SP77" "0.999139847227048" NA
"4468" "SP151" "SP77" "0.581929799667022" NA
"4469" "SP152" "SP77" "0.628593938490472" NA
"4470" "SP160" "SP77" "0.413202266148028" NA
"4471" "SP161" "SP77" "0.473893014389497" NA
"4472" "SP162" "SP77" "0.487524467295333" NA
"4473" "SP163" "SP77" "0.480640971282228" NA
"4474" "SP164" "SP77" "0.691098724565016" NA
"4475" "SP165" "SP77" "0.509020875374306" NA
"4476" "SP166" "SP77" "0.237312152487147" NA
"4477" "SP167" "SP77" "0.60002924956248" NA
"4478" "SP168" "SP77" "0.424421592552963" NA
"4479" "SP169" "SP77" "0.590887369804547" NA
"4480" "SP170" "SP77" "0.402400037458638" NA
"4481" "SP171" "SP77" "0.418758543257061" NA
"4482" "SP172" "SP77" "0.391995552369184" NA
"4483" "SP173" "SP77" "0.407750247607139" NA
"4484" "SP174" "SP77" "0.237312152487147" NA
"4485" "SP175" "SP77" "0.26715218003345" NA
"4486" "SP177" "SP77" "0.433122021648931" NA
"4487" "SP180" "SP77" "0.915653608480843" NA
"4488" "SP181" "SP77" "0.798464377015926" NA
"4489" "SP182" "SP77" "0.928708362119198" NA
"4490" "SP183" "SP77" "0.989949680993151" NA
"4491" "SP184" "SP77" "0.997124906282024" NA
"4492" "SP185" "SP77" "0.915780790297932" NA
"4493" "SP186" "SP77" "0.27314832838703" NA
"4494" "SP187" "SP77" "0.989949680993151" NA
"4495" "SP188" "SP77" "0.989805489988129" NA
"4496" "SP189" "SP77" "0.972099480214702" NA
"4497" "SP190" "SP77" "0.997124906282024" NA
"4498" "SP191" "SP77" "0.915780790297932" NA
"4499" "SP192" "SP77" "0.876785727645982" NA
"4500" "SP193" "SP77" "0.785795544499765" NA
"4501" "SP194" "SP77" "0.824231598822722" NA
"4502" "SP195" "SP77" "0.820280556766776" NA
"4503" "SP196" "SP77" "0.999888401492877" NA
"4504" "SP197" "SP77" "0.863067522148157" NA
"4505" "SP198" "SP77" "0.973257805832863" NA
"4506" "SP199" "SP77" "0.893116315233398" NA
"4507" "SP200" "SP77" "0.973877422095112" NA
"4508" "SP201" "SP77" "0.995590196382982" NA
"4509" "SP202" "SP77" "0.9574417023357" NA
"4510" "SP203" "SP77" "0.997124906282024" NA
"4511" "SP204" "SP77" "0.935282807800902" NA
"4512" "SP205" "SP77" "0.952482790578678" NA
"4513" "SP206" "SP77" "0.914165405733778" NA
"4514" "SP207" "SP77" "0.868470886718274" NA
"4515" "SP208" "SP77" "0.989949680993151" NA
"4516" "SP209" "SP77" "0.978777484454326" NA
"4517" "SP210" "SP77" "0.99870449491411" NA
"4518" "SP211" "SP77" "0.922102817680542" NA
"4519" "SP212" "SP77" "0.820334486622627" NA
"4520" "SP213" "SP77" "0.590887369804547" NA
"4521" "SP214" "SP77" "0.989805489988129" NA
"4522" "SP215" "SP77" "0.999139847227048" NA
"4523" "SP216" "SP77" "0.928343201653509" NA
"4524" "SP217" "SP77" "0.902942688315165" NA
"4525" "SP218" "SP77" "0.8574961918877" NA
"4526" "SP219" "SP77" "0.181576953591017" NA
"4527" "SP220" "SP77" "0.590887369804547" NA
"4528" "SP224" "SP77" "0.970623053015128" NA
"4529" "SP231" "SP77" "0.473893014389497" NA
"4530" "SP232" "SP77" "0.628593938490472" NA
"4531" "SP233" "SP77" "0.556127933189176" NA
"4532" "SP234" "SP77" "0.216314800902138" NA
"4533" "SP235" "SP77" "0.811282663570269" NA
"4534" "SP236" "SP77" "0.999888401492877" NA
"4535" "SP237" "SP77" "0.999888401492877" NA
"4536" "SP238" "SP77" "0.995590196382982" NA
"4537" "SP239" "SP77" "0.173339216358745" NA
"4538" "SP241" "SP77" "0.216314800902138" NA
"4539" "SP244" "SP77" "0.999888401492877" NA
"4540" "SP251" "SP77" "0.178216637159178" NA
"4541" "SP261" "SP77" "0.999888401492877" NA
"4542" "SP262" "SP77" "0.928708362119198" NA
"4543" "SP271" "SP77" "0.178216637159178" NA
"4544" "SP280" "SP77" "0.951966610404907" NA
"4545" "SP281" "SP77" "0.9498640857539" NA
"4546" "SP282" "SP77" "0.989949680993151" NA
"4547" "SP283" "SP77" "0.9574417023357" NA
"4548" "SP284" "SP77" "0.8574961918877" NA
"4549" "SP291" "SP77" "0.952178841184539" NA
"4550" "SP301" "SP77" "0.604670366992014" NA
"4551" "SP302" "SP77" "0.648616685900859" NA
"4552" "SP304" "SP77" "0.118282762257539" NA
"4553" "SP310" "SP77" "0.650458087658598" NA
"4554" "SP311" "SP77" "0.669446994548014" NA
"4555" "SP312" "SP77" "0.811282663570269" NA
"4556" "SP313" "SP77" "0.702234627315769" NA
"4557" "SP314" "SP77" "0.691098724565016" NA
"4558" "SP315" "SP77" "0.902942688315165" NA
"4559" "SP316" "SP77" "0.454430953258657" NA
"4560" "SP317" "SP77" "0.317254725043556" NA
"4561" "SP318" "SP77" "0.573153067007619" NA
"4562" "SP319" "SP77" "0.609358821808627" NA
"4563" "SP320" "SP77" "0.819945335452393" NA
"4564" "SP323" "SP77" "0.811282663570269" NA
"4565" "SP324" "SP77" "0.995590196382982" NA
"4566" "SP331" "SP77" "0.60002924956248" NA
"4567" "SP332" "SP77" "0.413202266148028" NA
"4568" "SP333" "SP77" NA NA
"4569" "SP334" "SP77" "0.282509479467122" NA
"4570" "SP335" "SP77" "0.941422796353117" NA
"4571" "SP336" "SP77" "0.982239422330972" NA
"4572" "SP337" "SP77" "0.917982844843602" NA
"4573" "SP338" "SP77" "0.897599079437495" NA
"4574" "SP339" "SP77" "0.941422796353117" NA
"4575" "SP340" "SP77" "0.702837472219464" NA
"4576" "SP341" "SP77" "0.897599079437495" NA
"4577" "SP342" "SP77" "0.973257805832863" NA
"4578" "SP343" "SP77" "0.897599079437495" NA
"4579" "SP344" "SP77" "0.989949680993151" NA
"4580" "SP345" "SP77" "0.921677109733455" NA
"4581" "SP346" "SP77" "0.989949680993151" NA
"4582" "SP347" "SP77" "0.339021449625806" NA
"4583" "SP350" "SP77" "0.889919411122287" NA
"4584" "SP361" "SP77" "0.999888401492877" NA
"4585" "SP366" "SP77" "0.895145839856756" NA
"4586" "SP367" "SP77" "0.994153858600861" NA
"4587" "SP371" "SP77" "0.324932110427129" NA
"4588" "SP380" "SP77" "0.893841115485676" NA
"4589" "SP381" "SP77" "0.995590196382982" NA
"4590" "SP382" "SP77" "0.997583218922573" NA
"4591" "SP383" "SP77" "0.999966917568968" NA
"4592" "SP384" "SP77" "0.915780790297932" NA
"4593" "SP387" "SP77" "0.516479506122321" NA
"4594" "SP391" "SP77" "0.509020875374306" NA
"4595" "SP396" "SP77" "0.516479506122321" NA
"4596" "SP461" "SP77" "0.354001414628513" NA
"4597" "SP471" "SP77" "0.669446994548014" NA
"4598" "SP472" "SP77" "0.676931187602855" NA
"4599" "SP481" "SP77" "0.64151777923713" NA
"4600" "SP482" "SP77" "0.556127933189176" NA
"4601" "SP630" "SP77" "0.928708362119198" NA
"4602" "SP631" "SP77" "0.289007163271918" NA
"4603" "SP632" "SP77" "0.188572476194095" NA
"4604" "SP633" "SP77" "0.239822537844221" NA
"4605" "SP634" "SP77" "0.999888401492877" NA
"4606" "SP702" "SP77" "0.69664083428877" NA
"4607" "SP900" "SP77" NA NA
"4608" "SP999" "SP77" NA NA
"4609" "SP0" "SP78" NA NA
"4610" "SP11" "SP78" "0.706649031486815" NA
"4611" "SP12" "SP78" "0.960987370993227" NA
"4612" "SP13" "SP78" "0.657397091055333" NA
"4613" "SP14" "SP78" "0.207365689106712" NA
"4614" "SP16" "SP78" "0.669313390499534" NA
"4615" "SP21" "SP78" "0.0813683758557882" NA
"4616" "SP31" "SP78" "0.0555882494948242" NA
"4617" "SP41" "SP78" "0.0962356795878311" NA
"4618" "SP42" "SP78" "0.151084424564375" NA
"4619" "SP44" "SP78" "0.18177802847735" NA
"4620" "SP51" "SP78" "0.235561220701603" NA
"4621" "SP61" "SP78" "0.645742350860949" NA
"4622" "SP62" "SP78" "0.362187120846262" NA
"4623" "SP63" "SP78" "0.483481880213245" NA
"4624" "SP65" "SP78" "0.645742350860949" NA
"4625" "SP66" "SP78" "0.542719323874294" NA
"4626" "SP71" "SP78" "0.362187120846262" NA
"4627" "SP72" "SP78" "0.262871501083492" NA
"4628" "SP73" "SP78" "0.238390300243832" NA
"4629" "SP74" "SP78" "0.323877099512857" NA
"4630" "SP75" "SP78" "0.151084424564375" NA
"4631" "SP76" "SP78" "0.207365689106712" NA
"4632" "SP77" "SP78" "0.151084424564375" NA
"4633" "SP78" "SP78" "0.167141268004422" NA
"4634" "SP79" "SP78" "0.241268042239732" NA
"4635" "SP80" "SP78" "0.315207866949108" NA
"4636" "SP81" "SP78" "0.151084424564375" NA
"4637" "SP82" "SP78" "0.21212136567425" NA
"4638" "SP83" "SP78" NA NA
"4639" "SP90" "SP78" "0.578801676546369" NA
"4640" "SP91" "SP78" "0.262871501083492" NA
"4641" "SP92" "SP78" "0.585143934484457" NA
"4642" "SP93" "SP78" "0.483481880213245" NA
"4643" "SP94" "SP78" "0.681493462421831" NA
"4644" "SP95" "SP78" "0.82464309422812" NA
"4645" "SP96" "SP78" "0.706649031486815" NA
"4646" "SP97" "SP78" "0.657397091055333" NA
"4647" "SP98" "SP78" NA NA
"4648" "SP99" "SP78" "0.693938612318028" NA
"4649" "SP100" "SP78" "0.645742350860949" NA
"4650" "SP101" "SP78" "0.802690416409401" NA
"4651" "SP102" "SP78" "0.468216648675581" NA
"4652" "SP106" "SP78" "0.578801676546369" NA
"4653" "SP111" "SP78" "0.362187120846262" NA
"4654" "SP121" "SP78" "0.698990979770214" NA
"4655" "SP131" "SP78" "0.172427724054912" NA
"4656" "SP132" "SP78" "0.111187625920029" NA
"4657" "SP133" "SP78" "0.674153671082848" NA
"4658" "SP135" "SP78" "0.266180997098699" NA
"4659" "SP141" "SP78" "0.991074040253827" NA
"4660" "SP151" "SP78" "0.524814658340368" NA
"4661" "SP152" "SP78" "0.571174378124503" NA
"4662" "SP160" "SP78" "0.362187120846262" NA
"4663" "SP161" "SP78" "0.419825497263352" NA
"4664" "SP162" "SP78" "0.432901276983079" NA
"4665" "SP163" "SP78" "0.426292365523252" NA
"4666" "SP164" "SP78" "0.63434622146265" NA
"4667" "SP165" "SP78" "0.453619769140531" NA
"4668" "SP166" "SP78" "0.200511606225808" NA
"4669" "SP167" "SP78" "0.542719323874294" NA
"4670" "SP168" "SP78" "0.372771499929396" NA
"4671" "SP169" "SP78" "0.533663929097497" NA
"4672" "SP170" "SP78" "0.352026418545848" NA
"4673" "SP171" "SP78" "0.367424952156588" NA
"4674" "SP172" "SP78" "0.342267839985749" NA
"4675" "SP173" "SP78" "0.357055187741617" NA
"4676" "SP174" "SP78" "0.200511606225808" NA
"4677" "SP175" "SP78" "0.227355366505719" NA
"4678" "SP177" "SP78" "0.381001543115288" NA
"4679" "SP180" "SP78" "0.876623422161345" NA
"4680" "SP181" "SP78" "0.746351550820767" NA
"4681" "SP182" "SP78" "0.957912327577164" NA
"4682" "SP183" "SP78" "0.998742141585477" NA
"4683" "SP184" "SP78" "0.999868064202715" NA
"4684" "SP185" "SP78" "0.876772654938405" NA
"4685" "SP186" "SP78" "0.232779730165363" NA
"4686" "SP187" "SP78" "0.998742141585477" NA
"4687" "SP188" "SP78" "0.972573438769775" NA
"4688" "SP189" "SP78" "0.989373335193763" NA
"4689" "SP190" "SP78" "0.999868064202715" NA
"4690" "SP191" "SP78" "0.876772654938405" NA
"4691" "SP192" "SP78" "0.832034445359892" NA
"4692" "SP193" "SP78" "0.732859337651707" NA
"4693" "SP194" "SP78" "0.774073121124715" NA
"4694" "SP195" "SP78" "0.864925212539871" NA
"4695" "SP196" "SP78" "0.997013520654362" NA
"4696" "SP197" "SP78" "0.902994660418676" NA
"4697" "SP198" "SP78" "0.948328393350786" NA
"4698" "SP199" "SP78" "0.92879808201938" NA
"4699" "SP200" "SP78" "0.99047586547665" NA
"4700" "SP201" "SP78" "0.982745627115284" NA
"4701" "SP202" "SP78" "0.979537003146318" NA
"4702" "SP203" "SP78" "0.999868064202715" NA
"4703" "SP204" "SP78" "0.963050622281754" NA
"4704" "SP205" "SP78" "0.975982505027753" NA
"4705" "SP206" "SP78" "0.946251094588449" NA
"4706" "SP207" "SP78" "0.907699512033143" NA
"4707" "SP208" "SP78" "0.998742141585477" NA
"4708" "SP209" "SP78" "0.993371626498708" NA
"4709" "SP210" "SP78" "0.999148602303713" NA
"4710" "SP211" "SP78" "0.884224534389199" NA
"4711" "SP212" "SP78" "0.769854719548429" NA
"4712" "SP213" "SP78" "0.533663929097497" NA
"4713" "SP214" "SP78" "0.972573438769775" NA
"4714" "SP215" "SP78" "0.991074040253827" NA
"4715" "SP216" "SP78" "0.891649847029408" NA
"4716" "SP217" "SP78" "0.861831112387253" NA
"4717" "SP218" "SP78" "0.898116981144887" NA
"4718" "SP219" "SP78" "0.151084424564375" NA
"4719" "SP220" "SP78" "0.533663929097497" NA
"4720" "SP224" "SP78" "0.988439781508591" NA
"4721" "SP231" "SP78" "0.419825497263352" NA
"4722" "SP232" "SP78" "0.571174378124503" NA
"4723" "SP233" "SP78" "0.499452297153451" NA
"4724" "SP234" "SP78" "0.18177802847735" NA
"4725" "SP235" "SP78" "0.760092897886553" NA
"4726" "SP236" "SP78" "0.997013520654362" NA
"4727" "SP237" "SP78" "0.997013520654362" NA
"4728" "SP238" "SP78" "0.982745627115284" NA
"4729" "SP239" "SP78" "0.143863446537433" NA
"4730" "SP241" "SP78" "0.18177802847735" NA
"4731" "SP244" "SP78" "0.997013520654362" NA
"4732" "SP251" "SP78" "0.148136092507593" NA
"4733" "SP261" "SP78" "0.997013520654362" NA
"4734" "SP262" "SP78" "0.957912327577164" NA
"4735" "SP271" "SP78" "0.148136092507593" NA
"4736" "SP280" "SP78" "0.975607337307952" NA
"4737" "SP281" "SP78" "0.974069841646158" NA
"4738" "SP282" "SP78" "0.998742141585477" NA
"4739" "SP283" "SP78" "0.979537003146318" NA
"4740" "SP284" "SP78" "0.898116981144887" NA
"4741" "SP291" "SP78" "0.920824443646973" NA
"4742" "SP301" "SP78" "0.547325942577172" NA
"4743" "SP302" "SP78" "0.591270561816306" NA
"4744" "SP304" "SP78" "0.0962356795878311" NA
"4745" "SP310" "SP78" "0.593125149358275" NA
"4746" "SP311" "SP78" "0.612315167312591" NA
"4747" "SP312" "SP78" "0.760092897886553" NA
"4748" "SP313" "SP78" "0.645742350860949" NA
"4749" "SP314" "SP78" "0.63434622146265" NA
"4750" "SP315" "SP78" "0.861831112387253" NA
"4751" "SP316" "SP78" "0.401239809146387" NA
"4752" "SP317" "SP78" "0.272980801594506" NA
"4753" "SP318" "SP78" "0.516166351515432" NA
"4754" "SP319" "SP78" "0.551986045818849" NA
"4755" "SP320" "SP78" "0.769434010965294" NA
"4756" "SP323" "SP78" "0.760092897886553" NA
"4757" "SP324" "SP78" "0.982745627115284" NA
"4758" "SP331" "SP78" "0.542719323874294" NA
"4759" "SP332" "SP78" "0.362187120846262" NA
"4760" "SP333" "SP78" NA NA
"4761" "SP334" "SP78" "0.241268042239732" NA
"4762" "SP335" "SP78" "0.967760128821085" NA
"4763" "SP336" "SP78" "0.960987370993227" NA
"4764" "SP337" "SP78" "0.949347581579233" NA
"4765" "SP338" "SP78" "0.932563942478501" NA
"4766" "SP339" "SP78" "0.967760128821085" NA
"4767" "SP340" "SP78" "0.755069377329576" NA
"4768" "SP341" "SP78" "0.932563942478501" NA
"4769" "SP342" "SP78" "0.948328393350786" NA
"4770" "SP343" "SP78" "0.932563942478501" NA
"4771" "SP344" "SP78" "0.998742141585477" NA
"4772" "SP345" "SP78" "0.952321056460565" NA
"4773" "SP346" "SP78" "0.998742141585477" NA
"4774" "SP347" "SP78" "0.293010483161706" NA
"4775" "SP350" "SP78" "0.846898683493617" NA
"4776" "SP361" "SP78" "0.997013520654362" NA
"4777" "SP366" "SP78" "0.852866492072547" NA
"4778" "SP367" "SP78" "0.999868109580295" NA
"4779" "SP371" "SP78" "0.280031375393854" NA
"4780" "SP380" "SP78" "0.851373692178913" NA
"4781" "SP381" "SP78" "0.982745627115284" NA
"4782" "SP382" "SP78" "0.999745120367667" NA
"4783" "SP383" "SP78" "0.994965071069026" NA
"4784" "SP384" "SP78" "0.876772654938405" NA
"4785" "SP387" "SP78" "0.460836900571768" NA
"4786" "SP391" "SP78" "0.453619769140531" NA
"4787" "SP396" "SP78" "0.460836900571768" NA
"4788" "SP461" "SP78" "0.306866475516928" NA
"4789" "SP471" "SP78" "0.612315167312591" NA
"4790" "SP472" "SP78" "0.619911996030932" NA
"4791" "SP481" "SP78" "0.58413105455153" NA
"4792" "SP482" "SP78" "0.499452297153451" NA
"4793" "SP630" "SP78" "0.957912327577164" NA
"4794" "SP631" "SP78" "0.247173958182696" NA
"4795" "SP632" "SP78" "0.157234330655901" NA
"4796" "SP633" "SP78" "0.202760075058045" NA
"4797" "SP634" "SP78" "0.997013520654362" NA
"4798" "SP702" "SP78" "0.640012168694082" NA
"4799" "SP900" "SP78" NA NA
"4800" "SP999" "SP78" NA NA
"4801" "SP0" "SP79" NA NA
"4802" "SP11" "SP79" "0.483908262313493" NA
"4803" "SP12" "SP79" "0.81052558986978" NA
"4804" "SP13" "SP79" "0.436114199124392" NA
"4805" "SP14" "SP79" "0.0981346282769792" NA
"4806" "SP16" "SP79" "0.447421374495438" NA
"4807" "SP21" "SP79" "0.0318543026782793" NA
"4808" "SP31" "SP79" "0.0203353254718338" NA
"4809" "SP41" "SP79" "0.0388727548302435" NA
"4810" "SP42" "SP79" "0.0667457477141044" NA
"4811" "SP44" "SP79" "0.0835399842137899" NA
"4812" "SP51" "SP79" "0.114811790110571" NA
"4813" "SP61" "SP79" "0.425204257733251" NA
"4814" "SP62" "SP79" "0.196969964650498" NA
"4815" "SP63" "SP79" "0.286640308564073" NA
"4816" "SP65" "SP79" "0.425204257733251" NA
"4817" "SP66" "SP79" "0.33455630401593" NA
"4818" "SP71" "SP79" "0.196969964650498" NA
"4819" "SP72" "SP79" "0.13153983992394" NA
"4820" "SP73" "SP79" "0.116518695376384" NA
"4821" "SP74" "SP79" "0.170886078327731" NA
"4822" "SP75" "SP79" "0.0667457477141044" NA
"4823" "SP76" "SP79" "0.0981346282769792" NA
"4824" "SP77" "SP79" "0.0667457477141044" NA
"4825" "SP78" "SP79" "0.0754316086047692" NA
"4826" "SP79" "SP79" "0.1182611582378" NA
"4827" "SP80" "SP79" "0.165130269568518" NA
"4828" "SP81" "SP79" "0.0667457477141044" NA
"4829" "SP82" "SP79" "0.100904442447566" NA
"4830" "SP83" "SP79" NA NA
"4831" "SP90" "SP79" "0.365187246388357" NA
"4832" "SP91" "SP79" "0.13153983992394" NA
"4833" "SP92" "SP79" "0.370690718081753" NA
"4834" "SP93" "SP79" "0.286640308564073" NA
"4835" "SP94" "SP79" "0.459143599842339" NA
"4836" "SP95" "SP79" "0.612347871701529" NA
"4837" "SP96" "SP79" "0.483908262313493" NA
"4838" "SP97" "SP79" "0.436114199124392" NA
"4839" "SP98" "SP79" NA NA
"4840" "SP99" "SP79" "0.471299452747415" NA
"4841" "SP100" "SP79" "0.425204257733251" NA
"4842" "SP101" "SP79" "0.586610890316798" NA
"4843" "SP102" "SP79" "0.274746257698533" NA
"4844" "SP106" "SP79" "0.365187246388357" NA
"4845" "SP111" "SP79" "0.196969964650498" NA
"4846" "SP121" "SP79" "0.476287514559842" NA
"4847" "SP131" "SP79" "0.0783395306264473" NA
"4848" "SP132" "SP79" "0.0461764174393973" NA
"4849" "SP133" "SP79" "0.452059435304205" NA
"4850" "SP135" "SP79" "0.133604641616105" NA
"4851" "SP141" "SP79" "0.883152543032482" NA
"4852" "SP151" "SP79" "0.319771134118023" NA
"4853" "SP152" "SP79" "0.358616794183299" NA
"4854" "SP160" "SP79" "0.196969964650498" NA
"4855" "SP161" "SP79" "0.238217154812746" NA
"4856" "SP162" "SP79" "0.24791409539412" NA
"4857" "SP163" "SP79" "0.2429970622623" NA
"4858" "SP164" "SP79" "0.41467449463344" NA
"4859" "SP165" "SP79" "0.263540990749797" NA
"4860" "SP166" "SP79" "0.0941739179775488" NA
"4861" "SP167" "SP79" "0.33455630401593" NA
"4862" "SP168" "SP79" "0.204363161071032" NA
"4863" "SP169" "SP79" "0.327045085608878" NA
"4864" "SP170" "SP79" "0.189948837327816" NA
"4865" "SP171" "SP79" "0.200618467589299" NA
"4866" "SP172" "SP79" "0.183275665789717" NA
"4867" "SP173" "SP79" "0.193414446232217" NA
"4868" "SP174" "SP79" "0.0941739179775488" NA
"4869" "SP175" "SP79" "0.109895187157723" NA
"4870" "SP177" "SP79" "0.210167912208775" NA
"4871" "SP180" "SP79" "0.678031023970888" NA
"4872" "SP181" "SP79" "0.524656319841744" NA
"4873" "SP182" "SP79" "0.99775070447752" NA
"4874" "SP183" "SP79" "0.952314250150013" NA
"4875" "SP184" "SP79" "0.930458256381797" NA
"4876" "SP185" "SP79" "0.678231308580985" NA
"4877" "SP186" "SP79" "0.113139504034418" NA
"4878" "SP187" "SP79" "0.952314250150013" NA
"4879" "SP188" "SP79" "0.83454261125254" NA
"4880" "SP189" "SP79" "0.977016202861715" NA
"4881" "SP190" "SP79" "0.930458256381797" NA
"4882" "SP191" "SP79" "0.678231308580985" NA
"4883" "SP192" "SP79" "0.62125149505361" NA
"4884" "SP193" "SP79" "0.510565654378736" NA
"4885" "SP194" "SP79" "0.554470689380373" NA
"4886" "SP195" "SP79" "0.983789084496674" NA
"4887" "SP196" "SP79" "0.90718436234997" NA
"4888" "SP197" "SP79" "0.995688710326851" NA
"4889" "SP198" "SP79" "0.786939340911928" NA
