"" "" "pL" "pCooc"
"156" "SP337" "SP0" NA NA
"157" "SP338" "SP0" NA "0.00277008310249307"
"158" "SP339" "SP0" NA NA
"159" "SP340" "SP0" NA NA
"160" "SP341" "SP0" NA "0.00692520775623269"
"161" "SP342" "SP0" NA "0.0207756232686981"
"162" "SP343" "SP0" NA NA
"163" "SP344" "SP0" NA NA
"164" "SP345" "SP0" NA NA
"165" "SP346" "SP0" NA NA
"166" "SP347" "SP0" NA "0.00138504155124654"
"167" "SP350" "SP0" NA NA
"168" "SP361" "SP0" NA "0"
"169" "SP366" "SP0" NA "0"
"170" "SP367" "SP0" NA NA
"171" "SP371" "SP0" NA "0"
"172" "SP380" "SP0" NA "0.00138504155124654"
"173" "SP381" "SP0" NA "0.00415512465373961"
"174" "SP382" "SP0" NA "0.00554016620498615"
"175" "SP383" "SP0" NA "0.00277008310249307"
"176" "SP384" "SP0" NA NA
"177" "SP387" "SP0" NA NA
"178" "SP391" "SP0" NA NA
"179" "SP396" "SP0" NA NA
"180" "SP461" "SP0" NA NA
"181" "SP471" "SP0" NA NA
"182" "SP472" "SP0" NA NA
"183" "SP481" "SP0" NA NA
"184" "SP482" "SP0" NA NA
"185" "SP630" "SP0" NA NA
"186" "SP631" "SP0" NA NA
"187" "SP632" "SP0" NA NA
"188" "SP633" "SP0" NA NA
"189" "SP634" "SP0" NA NA
"190" "SP702" "SP0" NA "0"
"191" "SP900" "SP0" NA "0.00969529085872576"
"192" "SP999" "SP0" NA "0.0526315789473684"
"193" "SP0" "SP11" NA NA
"194" "SP11" "SP11" "0.0181399958562534" NA
"195" "SP12" "SP11" "0.0793457505434352" NA
"196" "SP13" "SP11" "0.0141248673185107" NA
"197" "SP14" "SP11" "0.000671550322768578" NA
"198" "SP16" "SP11" "0.0150094640414337" NA
"199" "SP21" "SP11" "9.11148918276365e-05" NA
"200" "SP31" "SP11" "4.25896170129344e-05" NA
"201" "SP41" "SP11" "0.000128405899721167" NA
"202" "SP42" "SP11" "0.000332837026417511" NA
"203" "SP44" "SP11" "0.000499552664402488" NA
"204" "SP51" "SP11" "0.000899737235355158" NA
"205" "SP61" "SP11" "0.01330727705511" NA
"206" "SP62" "SP11" "0.00255552700708863" NA
"207" "SP63" "SP11" "0.00553314304244174" NA
"208" "SP65" "SP11" "0.01330727705511" NA
"209" "SP66" "SP11" "0.00772811317614538" NA
"210" "SP71" "SP11" "0.00255552700708863" NA
"211" "SP72" "SP11" "0.00116353254026332" NA
"212" "SP73" "SP11" "0.000925033690196959" NA
"213" "SP74" "SP11" "0.00192892822877754" NA
"214" "SP75" "SP11" "0.000332837026417511" NA
"215" "SP76" "SP11" "0.000671550322768578" NA
"216" "SP77" "SP11" "0.000332837026417511" NA
"217" "SP78" "SP11" "0.000414934078876483" NA
"218" "SP79" "SP11" "0.000951233728037573" NA
"219" "SP80" "SP11" "0.0018037892908947" NA
"220" "SP81" "SP11" "0.000332837026417511" NA
"221" "SP82" "SP11" "0.000707087884120649" NA
"222" "SP83" "SP11" NA NA
"223" "SP90" "SP11" "0.0093882099187226" NA
"224" "SP91" "SP11" "0.00116353254026332" NA
"225" "SP92" "SP11" "0.00970950117448905" NA
"226" "SP93" "SP11" "0.00553314304244174" NA
"227" "SP94" "SP11" "0.0159680716087288" NA
"228" "SP95" "SP11" "0.0333332574912494" NA
"229" "SP96" "SP11" "0.0181399958562534" NA
"230" "SP97" "SP11" "0.0141248673185107" NA
"231" "SP98" "SP11" NA NA
"232" "SP99" "SP11" "0.0170085981326406" NA
"233" "SP100" "SP11" "0.01330727705511" NA
"234" "SP101" "SP11" "0.029669225060883" NA
"235" "SP102" "SP11" "0.00505801778900339" NA
"236" "SP106" "SP11" "0.0093882099187226" NA
"237" "SP111" "SP11" "0.00255552700708863" NA
"238" "SP121" "SP11" "0.0174497126495742" NA
"239" "SP131" "SP11" "0.000444390728214663" NA
"240" "SP132" "SP11" "0.000173297252884551" NA
"241" "SP133" "SP11" "0.0153836045573858" NA
"242" "SP135" "SP11" "0.00119857512990787" NA
"243" "SP141" "SP11" "0.111393452546384" NA
"244" "SP151" "SP11" "0.00700076810426781" NA
"245" "SP152" "SP11" "0.00901403112644662" NA
"246" "SP160" "SP11" "0.00255552700708863" NA
"247" "SP161" "SP11" "0.00375757996651221" NA
"248" "SP162" "SP11" "0.00408023062104177" NA
"249" "SP163" "SP11" "0.00391464239324384" NA
"250" "SP164" "SP11" "0.0125504735179126" NA
"251" "SP165" "SP11" "0.004634163589881" NA
"252" "SP166" "SP11" "0.000622347219580511" NA
"253" "SP167" "SP11" "0.00772811317614538" NA
"254" "SP168" "SP11" "0.00275142621660243" NA
"255" "SP169" "SP11" "0.00735280624472147" NA
"256" "SP170" "SP11" "0.00237708319285741" NA
"257" "SP171" "SP11" "0.00265116772910899" NA
"258" "SP172" "SP11" "0.00221422583249452" NA
"259" "SP173" "SP11" "0.00246424588351063" NA
"260" "SP174" "SP11" "0.000622347219580511" NA
"261" "SP175" "SP11" "0.000828902469042792" NA
"262" "SP177" "SP11" "0.00291108268891602" NA
"263" "SP180" "SP11" "0.0445339459873522" NA
"264" "SP181" "SP11" "0.0221883159936227" NA
"265" "SP182" "SP11" "0.258409073455919" NA
"266" "SP183" "SP11" "0.164107427000969" NA
"267" "SP184" "SP11" "0.143317707079087" NA
"268" "SP185" "SP11" "0.0445727891094261" NA
"269" "SP186" "SP11" "0.000875306765938054" NA
"270" "SP187" "SP11" "0.164107427000969" NA
"271" "SP188" "SP11" "0.0884433854579099" NA
"272" "SP189" "SP11" "0.197880943423238" NA
"273" "SP190" "SP11" "0.143317707079087" NA
"274" "SP191" "SP11" "0.0445727891094261" NA
"275" "SP192" "SP11" "0.0346876642066944" NA
"276" "SP193" "SP11" "0.0207174628342512" NA
"277" "SP194" "SP11" "0.0255702975063183" NA
"278" "SP195" "SP11" "0.382410698948224" NA
"279" "SP196" "SP11" "0.125981218665208" NA
"280" "SP197" "SP11" "0.335380600879735" NA
"281" "SP198" "SP11" "0.0714713825966192" NA
"282" "SP199" "SP11" "0.30121001822558" NA
"283" "SP200" "SP11" "0.194958536560042" NA
"284" "SP201" "SP11" "0.0990185283263466" NA
"285" "SP202" "SP11" "0.220139122773681" NA
"286" "SP203" "SP11" "0.143317707079087" NA
"287" "SP204" "SP11" "0.250055819732225" NA
"288" "SP205" "SP11" "0.227132628398525" NA
"289" "SP206" "SP11" "0.276315292318475" NA
"290" "SP207" "SP11" "0.329324909226278" NA
"291" "SP208" "SP11" "0.164107427000969" NA
"292" "SP209" "SP11" "0.18654105528231" NA
"293" "SP210" "SP11" "0.13601261123899" NA
"294" "SP211" "SP11" "0.0465741835306989" NA
"295" "SP212" "SP11" "0.025021479859157" NA
"296" "SP213" "SP11" "0.00735280624472147" NA
"297" "SP214" "SP11" "0.0884433854579099" NA
"298" "SP215" "SP11" "0.111393452546384" NA
"299" "SP216" "SP11" "0.0486977781095102" NA
"300" "SP217" "SP11" "0.0409022142532326" NA
"301" "SP218" "SP11" "0.341591465619528" NA
"302" "SP219" "SP11" "0.000332837026417511" NA
"303" "SP220" "SP11" "0.00735280624472147" NA
"304" "SP224" "SP11" "0.200262640465681" NA
"305" "SP231" "SP11" "0.00375757996651221" NA
"306" "SP232" "SP11" "0.00901403112644662" NA
"307" "SP233" "SP11" "0.00606742281691551" NA
"308" "SP234" "SP11" "0.000499552664402488" NA
"309" "SP235" "SP11" "0.0238001260144972" NA
"310" "SP236" "SP11" "0.125981218665208" NA
"311" "SP237" "SP11" "0.125981218665208" NA
"312" "SP238" "SP11" "0.0990185283263466" NA
"313" "SP239" "SP11" "0.000299404126591" NA
"314" "SP241" "SP11" "0.000499552664402488" NA
"315" "SP244" "SP11" "0.125981218665208" NA
"316" "SP251" "SP11" "0.000318931304948056" NA
"317" "SP261" "SP11" "0.125981218665208" NA
"318" "SP262" "SP11" "0.258409073455919" NA
"319" "SP271" "SP11" "0.000318931304948056" NA
"320" "SP280" "SP11" "0.227848823727149" NA
"321" "SP281" "SP11" "0.230745098960284" NA
"322" "SP282" "SP11" "0.164107427000969" NA
"323" "SP283" "SP11" "0.220139122773681" NA
"324" "SP284" "SP11" "0.341591465619528" NA
"325" "SP291" "SP11" "0.0586216271894952" NA
"326" "SP301" "SP11" "0.00792509049537121" NA
"327" "SP302" "SP11" "0.0100289145855749" NA
"328" "SP304" "SP11" "0.000128405899721167" NA
"329" "SP310" "SP11" "0.0101273983715875" NA
"330" "SP311" "SP11" "0.011197677640483" NA
"331" "SP312" "SP11" "0.0238001260144972" NA
"332" "SP313" "SP11" "0.01330727705511" NA
"333" "SP314" "SP11" "0.0125504735179126" NA
"334" "SP315" "SP11" "0.0409022142532326" NA
"335" "SP316" "SP11" "0.00333240085097319" NA
"336" "SP317" "SP11" "0.00127276032409879" NA
"337" "SP318" "SP11" "0.00667023722379044" NA
"338" "SP319" "SP11" "0.00812862645764975" NA
"339" "SP320" "SP11" "0.0249674580809041" NA
"340" "SP323" "SP11" "0.0238001260144972" NA
"341" "SP324" "SP11" "0.0990185283263466" NA
"342" "SP331" "SP11" "0.00772811317614538" NA
"343" "SP332" "SP11" "0.00255552700708863" NA
"344" "SP333" "SP11" NA NA
"345" "SP334" "SP11" "0.000951233728037573" NA
"346" "SP335" "SP11" "0.242072260930248" NA
"347" "SP336" "SP11" "0.0793457505434352" NA
"348" "SP337" "SP11" "0.271681245229292" NA
"349" "SP338" "SP11" "0.29598924338211" NA
"350" "SP339" "SP11" "0.242072260930248" NA
"351" "SP340" "SP11" "0.507659300229942" NA
"352" "SP341" "SP11" "0.29598924338211" NA
"353" "SP342" "SP11" "0.0714713825966192" NA
"354" "SP343" "SP11" "0.29598924338211" NA
"355" "SP344" "SP11" "0.164107427000969" NA
"356" "SP345" "SP11" "0.26715427221356" NA
"357" "SP346" "SP11" "0.164107427000969" NA
"358" "SP347" "SP11" "0.00150902737853217" NA
"359" "SP350" "SP11" "0.0376244186446321" NA
"360" "SP361" "SP11" "0.125981218665208" NA
"361" "SP366" "SP11" "0.0388919130180033" NA
"362" "SP367" "SP11" "0.153228656652162" NA
"363" "SP371" "SP11" "0.0013528534922336" NA
"364" "SP380" "SP11" "0.0385697645071655" NA
"365" "SP381" "SP11" "0.0990185283263466" NA
"366" "SP382" "SP11" "0.141441870466519" NA
"367" "SP383" "SP11" "0.119849481795946" NA
"368" "SP384" "SP11" "0.0445727891094261" NA
"369" "SP387" "SP11" "0.00484012390238612" NA
"370" "SP391" "SP11" "0.004634163589881" NA
"371" "SP396" "SP11" "0.00484012390238612" NA
"372" "SP461" "SP11" "0.00168878794639761" NA
"373" "SP471" "SP11" "0.011197677640483" NA
"374" "SP472" "SP11" "0.0116484753495684" NA
"375" "SP481" "SP11" "0.0096575581468108" NA
"376" "SP482" "SP11" "0.00606742281691551" NA
"377" "SP630" "SP11" "0.258409073455919" NA
"378" "SP631" "SP11" "0.00100650478942201" NA
"379" "SP632" "SP11" "0.000362995239623101" NA
"380" "SP633" "SP11" "0.000638229025294329" NA
"381" "SP634" "SP11" "0.125981218665208" NA
"382" "SP702" "SP11" "0.0129216379073855" NA
"383" "SP900" "SP11" NA NA
"384" "SP999" "SP11" NA NA
"385" "SP0" "SP12" NA NA
"386" "SP11" "SP12" "0.000393685347691802" NA
"387" "SP12" "SP12" "0.00350570835028627" NA
"388" "SP13" "SP12" "0.000275105503105807" NA
"389" "SP14" "SP12" "4.14183593919087e-06" NA
"390" "SP16" "SP12" "0.000300039641130972" NA
"391" "SP21" "SP12" "2.94941168796167e-07" NA
"392" "SP31" "SP12" "1.09509384569625e-07" NA
"393" "SP41" "SP12" "4.62297422816885e-07" NA
"394" "SP42" "SP12" "1.62460487735307e-06" NA
