"sub_ESP" "" ""
"99" "ESP_318" "Hyporhamphus_picarti" "1.25527250510331"
"100" "ESP_226" "Atherina_hepsetus" "1.30102999566398"
"101" "ESP_227" "Atherina_presbyter" "1.30102999566398"
"102" "ESP_233" "Blennius_ocellaris" "1.30102999566398"
"103" "ESP_603" "Carapus_acus" "1.30102999566398"
"104" "ESP_426" "Scorpaena_notata" "1.30102999566398"
"105" "ESP_455" "Symphodus_bailloni" "1.30102999566398"
"106" "ESP_467" "Syngnathus_phlegon" "1.30102999566398"
"107" "ESP_471" "Taurulus_bubalis" "1.30102999566398"
"108" "ESP_465" "Syngnathus_abaster" "1.32221929473392"
"109" "ESP_349" "Microchirus_ocellatus" "1.34242268082221"
"110" "ESP_381" "Parablennius_sanguinolentus" "1.34242268082221"
"111" "ESP_446" "Spicara_flexuosa" "1.34242268082221"
"112" "ESP_448" "Spicara_smaris" "1.34242268082221"
"113" "ESP_124" "Syngnathus_taenionotus" "1.39794000867204"
"114" "ESP_132" "Zosterisessor_ophiocephalus" "1.39794000867204"
"115" "ESP_221" "Arnoglossus_imperialis" "1.39794000867204"
"116" "ESP_223" "Arnoglossus_thori" "1.39794000867204"
"117" "ESP_281" "Diplodus_annularis" "1.39794000867204"
"118" "ESP_368" "Oedalechilus_labeo" "1.39794000867204"
"119" "ESP_416" "Sardina_pilchardus" "1.39794000867204"
"120" "ESP_433" "Serranus_hepatus" "1.39794000867204"
"121" "ESP_461" "Symphodus_melops" "1.39794000867204"
"122" "ESP_473" "Thalassoma_pavo" "1.39794000867204"
"123" "ESP_103" "Parophidion_vassali" "1.41497334797082"
"124" "ESP_447" "Spicara_maena" "1.41497334797082"
"125" "ESP_211" "Anthias_anthias" "1.43136376415899"
"126" "ESP_253" "Chaetodon_hoefleri" "1.43136376415899"
"127" "ESP_261" "Coris_julis" "1.44715803134222"
"128" "ESP_82" "Lepidion_lepidion" "1.47712125471966"
"129" "ESP_96" "Ophidion_rochei" "1.47712125471966"
"130" "ESP_117" "Solea_aegyptiaca" "1.47712125471966"
"131" "ESP_258" "Citharus_linguatula" "1.47712125471966"
"132" "ESP_278" "Dicologlossa_cuneata" "1.47712125471966"
"133" "ESP_567" "Exocoetus_volitans" "1.47712125471966"
"134" "ESP_303" "Gobius_cobitis" "1.47712125471966"
"135" "ESP_363" "Nerophis_maculatus" "1.47712125471966"
"136" "ESP_364" "Nerophis_ophidion" "1.47712125471966"
"137" "ESP_367" "Oblada_melanura" "1.47712125471966"
"138" "ESP_370" "Ophidion_barbatum" "1.47712125471966"
"139" "ESP_378" "Parablennius_gattorugine" "1.47712125471966"
"140" "ESP_418" "Sardinella_maderensis" "1.47712125471966"
"141" "ESP_427" "Scorpaena_porcus" "1.47712125471966"
"142" "ESP_435" "Solea_impar" "1.54406804435028"
"143" "ESP_460" "Symphodus_tinca" "1.54406804435028"
"144" "ESP_468" "Syngnathus_typhle" "1.54406804435028"
"145" "ESP_593" "Uranoscopus_scaber" "1.54406804435028"
"146" "ESP_234" "Boops_boops" "1.55630250076729"
"147" "ESP_372" "Pagellus_acarne" "1.55630250076729"
"148" "ESP_434" "Serranus_scriba" "1.55630250076729"
"149" "ESP_125" "Syngnathus_tenuirostris" "1.5910646070265"
"150" "ESP_225" "Aspitrigla_obscura" "1.60205999132796"
"151" "ESP_565" "Cheilopogon_heterurus" "1.60205999132796"
"152" "ESP_321" "Labrus_bimaculatus" "1.60205999132796"
"153" "ESP_341" "Liza_saliens" "1.60205999132796"
"154" "ESP_347" "Microchirus_azevia" "1.60205999132796"
"155" "ESP_432" "Serranus_cabrilla" "1.60205999132796"
"156" "ESP_436" "Solea_kleinii" "1.60205999132796"
"157" "ESP_620" "Solea_lascaris" "1.60205999132796"
"158" "ESP_438" "Solea_nasuta" "1.60205999132796"
"159" "ESP_482" "Trachinus_draco" "1.60205999132796"
"160" "ESP_489" "Trigloporus_lastoviza" "1.60205999132796"
"161" "ESP_490" "Trisopterus_minutus" "1.60205999132796"
"162" "ESP_469" "Synodus_saurus" "1.63346845557959"
"163" "ESP_67" "Diplodus_sargus" "1.65321251377534"
"164" "ESP_131" "Trisopterus_luscus" "1.65321251377534"
"165" "ESP_532" "Argentina_sphyraena" "1.65321251377534"
"166" "ESP_230" "Balistes_carolinensis" "1.65321251377534"
"167" "ESP_235" "Bothus_podas" "1.65321251377534"
"168" "ESP_275" "Dentex_maroccanus" "1.65321251377534"
"169" "ESP_284" "Diplodus_vulgaris" "1.65321251377534"
"170" "ESP_297" "Gaidropsarus_mediterraneus" "1.65321251377534"
"171" "ESP_356" "Mullus_surmuletus" "1.65321251377534"
"172" "ESP_466" "Syngnathus_acus" "1.66275783168157"
"173" "ESP_220" "Ariosoma_balearicum" "1.69897000433602"
"174" "ESP_224" "Aspitrigla_cuculus" "1.69897000433602"
"175" "ESP_311" "Halobatrachus_didactylus" "1.69897000433602"
"176" "ESP_322" "Labrus_merula" "1.69897000433602"
"177" "ESP_323" "Labrus_viridis" "1.69897000433602"
"178" "ESP_338" "Lithognathus_mormyrus" "1.69897000433602"
"179" "ESP_390" "Pomadasys_incisus" "1.69897000433602"
"180" "ESP_419" "Sarpa_salpa" "1.69897000433602"
"181" "ESP_428" "Scorpaena_scrofa" "1.69897000433602"
