"PreyNames" "PredNames" "pLHigh"
"1" 13 13 0.606337895852687
"2" 110 13 0.564960143750789
"3" 224 13 0.476247431506763
"4" 253 13 0.476247431506763
"5" 205 13 0.460746731508781
"6" 216 13 0.445912238496263
"7" 230 13 0.405085932018523
"8" 3 13 0.405085932018523
"9" 10 13 0.405085932018523
"10" 13 110 0.628024915975457
"11" 110 110 0.586575166896122
"12" 224 110 0.497064182742068
"13" 253 110 0.497064182742068
"14" 205 110 0.481337677328163
"15" 216 110 0.466263548797616
"16" 230 110 0.424659484120054
"17" 3 110 0.424659484120054
"18" 10 110 0.424659484120054
"19" 13 224 0.675256272612981
"20" 110 224 0.634024565963245
"21" 224 224 0.543482635412345
"22" 253 224 0.543482635412345
"23" 205 224 0.5273731580999
"24" 216 224 0.511876761905736
"25" 230 224 0.468828999482929
"26" 3 224 0.468828999482929
"27" 10 224 0.468828999482929
"28" 8 224 0.442767540187679
"29" 251 224 0.41861162062029
"30" 200 224 0.41861162062029
"31" 243 224 0.407197273838627
"32" 5 224 0.407197273838627
"33" 13 253 0.675256272612981
"34" 110 253 0.634024565963245
"35" 224 253 0.543482635412345
"36" 253 253 0.543482635412345
"37" 205 253 0.5273731580999
"38" 216 253 0.511876761905736
"39" 230 253 0.468828999482929
"40" 3 253 0.468828999482929
"41" 10 253 0.468828999482929
"42" 8 253 0.442767540187679
"43" 251 253 0.41861162062029
"44" 200 253 0.41861162062029
"45" 243 253 0.407197273838627
"46" 5 253 0.407197273838627
"47" 13 205 0.683687051913469
"48" 110 205 0.642551619987495
"49" 224 205 0.551934950149362
"50" 253 205 0.551934950149362
"51" 205 205 0.53577406427645
"52" 216 205 0.520217859572308
"53" 230 205 0.476951706694651
"54" 3 205 0.476951706694651
"55" 10 205 0.476951706694651
"56" 8 205 0.450721304076208
"57" 251 205 0.426384334800295
"58" 200 205 0.426384334800295
"59" 243 205 0.414876275563213
"60" 5 205 0.414876275563213
"61" 13 216 0.691822742379874
"62" 110 216 0.65079761697733
"63" 224 216 0.560142231025772
"64" 253 216 0.560142231025772
"65" 205 216 0.543936954233484
"66" 216 216 0.528327836905305
"67" 230 216 0.484863120285309
"68" 3 216 0.484863120285309
"69" 10 216 0.484863120285309
"70" 8 216 0.458476197663221
"71" 251 216 0.433969934593493
"72" 200 216 0.433969934593493
"73" 243 216 0.422373789505113
"74" 5 216 0.422373789505113
"75" 13 230 0.714610315462083
"76" 110 230 0.673988705445431
"77" 224 230 0.583407251270111
"78" 253 230 0.583407251270111
"79" 205 230 0.567106249201773
"80" 216 230 0.551375295145737
"81" 230 230 0.507421491949872
"82" 3 230 0.507421491949872
"83" 10 230 0.507421491949872
"84" 8 230 0.480632151058996
"85" 251 230 0.45568176179625
"86" 200 230 0.45568176179625
"87" 243 230 0.443851945462767
"88" 5 230 0.443851945462767
"89" 233 230 0.410743834011498
"90" 13 3 0.714610315462083
"91" 110 3 0.673988705445431
"92" 224 3 0.583407251270111
"93" 253 3 0.583407251270111
"94" 205 3 0.567106249201773
"95" 216 3 0.551375295145737
"96" 230 3 0.507421491949872
"97" 3 3 0.507421491949872
"98" 10 3 0.507421491949872
"99" 8 3 0.480632151058996
"100" 251 3 0.45568176179625
"101" 200 3 0.45568176179625
"102" 243 3 0.443851945462767
