ESPECE;ESPECES;Esp_Plato_;Artisanal_fishing;Aquaculture;Recreational_fishing;Aquarium
Lepadogaster_candollei;ESP_326;1;0;0;0;0
Lepadogaster_purpurea;ESP_328;1;0;0;0;0
Lesueurigobius_friesii;ESP_332;1;0;0;0;0
Lipophrys_canevai;ESP_334;1;0;0;0;0
Lipophrys_dalmatinus;ESP_335;1;0;0;0;0
Lipophrys_pavo;ESP_336;1;1;0;0;0
Lipophrys_trigloides;ESP_337;1;0;0;0;0
Lithognathus_mormyrus;ESP_338;1;1;0;1;0
Liza_ramada;ESP_340;1;1;1;1;0
Liza_saliens;ESP_341;1;1;1;0;0
Merlangius_merlangus;ESP_345;1;1;0;1;1
Microchirus_azevia;ESP_347;1;0;0;0;0
Microchirus_ocellatus;ESP_349;1;1;0;0;0
Mobula_mobular;ESP_352;1;0;0;0;0
Mugil_cephalus;ESP_354;1;1;1;1;0
Mullus_surmuletus;ESP_356;1;1;0;1;0
Muraena_helena;ESP_357;1;1;0;1;1
Mustelus_asterias;ESP_358;1;1;0;1;0
Mustelus_mustelus;ESP_359;1;1;0;1;0
Mycteroperca_rubra;ESP_360;1;1;0;0;0
Myliobatis_aquila;ESP_361;1;1;0;1;0
Nerophis_maculatus;ESP_363;1;0;0;0;0
Nerophis_ophidion;ESP_364;1;0;0;0;0
Oblada_melanura;ESP_367;1;1;0;1;0
Oedalechilus_labeo;ESP_368;1;0;0;0;0
Ophidion_barbatum;ESP_370;1;0;0;0;0
Orcynopsis_unicolor;ESP_371;1;1;0;1;0
Pagellus_acarne;ESP_372;1;1;0;1;0
Pagellus_erythrinus;ESP_374;1;1;0;1;0
Pagrus_auriga;ESP_375;1;1;0;1;1
Pagrus_caeruleostictus;ESP_376;1;1;0;1;0
Pagrus_pagrus;ESP_377;1;1;1;1;1
Parablennius_gattorugine;ESP_378;1;1;0;0;1
Parablennius_incognitus;ESP_379;1;0;0;0;0
Parablennius_rouxi;ESP_380;1;0;0;0;0
Parablennius_sanguinolentus;ESP_381;1;1;0;0;1
Parablennius_tentacularis;ESP_382;1;0;0;0;1
Phycis_phycis;ESP_385;1;1;0;0;0
Platichthys_flesus;ESP_386;1;1;0;1;0
Plectorhinchus_mediterraneus;ESP_387;1;1;0;0;0
Pleuronectes_platessa;ESP_388;1;1;1;1;1
Pomadasys_incisus;ESP_390;1;1;0;0;0
Pomatomus_saltator;ESP_391;1;1;1;1;0
Pomatoschistus_marmoratus;ESP_392;1;0;0;0;0
Pomatoschistus_microps;ESP_393;1;0;0;0;1
Pomatoschistus_minutus;ESP_394;1;0;0;0;1
Pristis_pristis;ESP_396;1;1;0;0;0
Pteromylaeus_bovinus;ESP_398;1;1;0;1;0
Rostroraja_alba;ESP_399;1;1;0;1;0
Raja_asterias;ESP_400;1;1;0;0;0
Raja_miraletus;ESP_404;1;1;0;1;0
Raja_montagui;ESP_405;1;1;0;0;0
Leucoraja_naevus;ESP_406;1;1;0;0;1
Rhinobatos_cemiculus;ESP_412;1;1;0;1;0
Rhinobatos_rhinobatos;ESP_413;1;1;0;0;0
Rhinoptera_marginata;ESP_414;1;1;0;0;0
Sarda_sarda;ESP_415;1;1;0;1;0
Sardina_pilchardus;ESP_416;1;1;0;0;0
Sardinella_maderensis;ESP_418;1;1;0;0;0
Sarpa_salpa;ESP_419;1;1;0;1;0
Scartella_cristata;ESP_420;1;0;0;0;1
Sciaena_umbra;ESP_421;1;1;0;1;0
Scorpaena_maderensis;ESP_425;1;1;0;0;0
Scorpaena_notata;ESP_426;1;1;0;1;1
Scorpaena_porcus;ESP_427;1;1;0;1;1
Scorpaena_scrofa;ESP_428;1;1;0;1;1
Scyliorhinus_canicula;ESP_429;1;1;0;0;1
Scyliorhinus_stellaris;ESP_430;1;1;0;0;1
Serranus_cabrilla;ESP_432;1;1;0;1;1
Serranus_hepatus;ESP_433;1;1;0;0;1
Serranus_scriba;ESP_434;1;1;0;1;0
Solea_impar;ESP_435;1;1;1;0;0
Solea_kleinii;ESP_436;1;1;0;0;0
Solea_nasuta;ESP_438;1;0;0;0;0
Solea_vulgaris;ESP_439;1;1;1;0;1
Sparus_aurata;ESP_440;1;1;1;1;0
Sphyraena_sphyraena;ESP_442;1;1;0;1;0
Sphyrna_tudes;ESP_444;1;1;0;0;0
Sphyrna_zygaena;ESP_445;1;1;0;1;0
Spicara_flexuosa;ESP_446;1;1;0;1;0
Spicara_maena;ESP_447;1;1;0;1;0
Spicara_smaris;ESP_448;1;1;0;1;0
Spondyliosoma_cantharus;ESP_449;1;1;0;1;1
Squatina_oculata;ESP_451;1;1;0;0;0
Squatina_squatina;ESP_452;1;1;0;0;1
Stromateus_fiatola;ESP_453;1;1;0;0;0
Symphodus_bailloni;ESP_455;1;0;0;0;0
Symphodus_ocellatus;ESP_457;1;0;0;0;1
Symphodus_roissali;ESP_458;1;1;0;0;1
Symphodus_rostratus;ESP_459;1;0;0;0;1
Symphodus_tinca;ESP_460;1;1;0;1;1
Symphodus_melops;ESP_461;1;1;0;1;1
Syngnathus_abaster;ESP_465;1;0;0;0;0
Syngnathus_acus;ESP_466;1;0;0;0;0
Syngnathus_phlegon;ESP_467;1;0;0;0;1
Syngnathus_typhle;ESP_468;1;0;0;0;1
Synodus_saurus;ESP_469;1;1;0;1;0
Taurulus_bubalis;ESP_471;1;0;0;0;1
Thalassoma_pavo;ESP_473;1;1;0;1;1
Thorogobius_ephippiatus;ESP_474;1;0;0;0;0
Torpedo_marmorata;ESP_477;1;0;0;0;1
Torpedo_torpedo;ESP_479;1;0;0;0;1
Trachinus_araneus;ESP_481;1;1;0;0;0
Trachinus_draco;ESP_482;1;1;0;1;1
Trachinus_radiatus;ESP_483;1;1;0;0;0
Trigla_lucerna;ESP_487;1;1;0;1;1
Trigloporus_lastoviza;ESP_489;1;1;0;0;0
Trisopterus_minutus;ESP_490;1;1;0;0;0
Tylosurus_acus;ESP_491;1;1;0;1;0
Umbrina_cirrosa;ESP_492;1;1;0;1;0
Umbrina_ronchus;ESP_493;1;1;0;1;0
Vanneaugobius_pruvoti;ESP_494;1;0;0;0;0
Xyrichthys_novacula;ESP_496;1;1;0;1;1
Zebrus_zebrus;ESP_497;1;0;0;0;0
Zeus_faber;ESP_498;1;1;0;1;1
Lampetra_fluviatilis;ESP_499;1;1;0;0;0
Petromyzon_marinus;ESP_500;1;1;0;0;0
Carcharias_taurus;ESP_502;1;1;0;0;1
Alopias_vulpinus;ESP_506;1;1;0;0;1
Carcharhinus_brevipinna;ESP_508;1;1;0;0;1
Valenciennellus_tripunctulatus;ESP_525;1;0;0;0;0
Acipenser_stellatus;ESP_53;1;1;1;0;1
Argentina_sphyraena;ESP_532;1;1;0;0;0
Aphanius_fasciatus;ESP_54;1;0;0;0;1
Aphanius_iberus;ESP_55;1;0;0;0;1
Cynoponticus_ferox;ESP_558;1;1;0;0;0
