"","x"
"186",7.51882963998501e-09
"187",7.51882963998501e-09
"188",7.51882963998501e-09
"189",7.51882963998501e-09
"190",7.51882963998501e-09
"191",6.28369970920008e-09
"192",4.84892656909737e-09
"193",4.84892656909737e-09
"194",4.84892656909737e-09
"195",4.84892656909737e-09
"196",4.84892656909737e-09
"197",4.84892656909737e-09
"198",4.84892656909737e-09
"199",4.84892656909737e-09
"200",4.84892656909737e-09
"201",3.22439788414213e-09
"202",2.20152761879873e-09
"203",2.20152761879873e-09
"204",2.20152761879873e-09
"205",2.20152761879873e-09
"206",2.20152761879873e-09
"207",2.20152761879873e-09
"208",2.20152761879873e-09
"209",2.20152761879873e-09
"210",2.20152761879873e-09
"211",1.53815021408211e-09
"212",1.53815021408211e-09
"213",1.53815021408211e-09
"214",1.43530375171789e-09
"215",1.09665694698215e-09
"216",1.09665694698215e-09
"217",1.09665694698215e-09
"218",1.09665694698215e-09
"219",1.09665694698215e-09
"220",5.87212843429962e-10
"221",5.87212843429962e-10
"222",4.39454927804302e-10
"223",4.39454927804302e-10
"224",3.33198841826499e-10
"225",3.33198841826499e-10
"226",3.33198841826499e-10
"227",3.33198841826499e-10
"228",3.33198841826499e-10
"229",3.33198841826499e-10
"230",3.33198841826499e-10
"231",1.98288425825146e-10
"232",1.98288425825146e-10
"233",1.98288425825146e-10
"234",1.98288425825146e-10
"235",1.98288425825146e-10
"236",1.22801749542808e-10
"237",1.22801749542808e-10
"238",7.86734188362058e-11
"239",7.86734188362058e-11
"240",6.36799001288642e-11
"241",5.18947721485765e-11
"242",3.51117313918518e-11
"243",3.51117313918518e-11
"244",3.51117313918518e-11
"245",2.42928629394895e-11
"246",2.03599373004137e-11
"247",2.03599373004137e-11
"248",8.98638536895977e-12
"249",6.65282251264872e-12
"250",6.65282251264872e-12
"251",6.65282251264872e-12
"252",6.65282251264872e-12
"253",2.90613434521264e-12
"254",5.80490892595525e-13
"255",5.80490892595525e-13
"256",9.62050924248289e-14
"257",0.00293327329290905
"258",0.00231706698392128
"259",0.00136122319502149
"260",0.00136122319502149
"261",0.00123410912670294
"262",0.00112158067022694
"263",0.000853183048167354
"264",0.000853183048167354
"265",0.000853183048167354
"266",0.000718128357904447
"267",0.000608795100688216
"268",0.000608795100688216
"269",0.000561934441569855
"270",0.000561934441569855
"271",0.000445953527582613
"272",0.000384943279382703
"273",0.000384943279382703
"274",0.000272272166958419
"275",0.000272272166958419
"276",0.000272272166958419
"277",0.000272272166958419
"278",0.000254902915345001
"279",0.000224097657653566
"280",0.000197771534685365
"281",0.00014692559414456
"282",0.00014692559414456
"283",0.00014692559414456
"284",0.00014692559414456
"285",0.00014692559414456
"286",0.000111279709294696
"287",0.000111279709294696
"288",0.000111279709294696
"289",0.000111279709294696
"290",0.00010548351338398
"291",0.000100054360680941
"292",8.57066951863752e-05
"293",8.57066951863752e-05
"294",8.57066951863752e-05
"295",6.69883806006675e-05
"296",5.30438867345467e-05
"297",5.30438867345467e-05
"298",5.30438867345467e-05
"299",5.30438867345467e-05
"300",5.30438867345467e-05
"301",5.30438867345467e-05
"302",5.30438867345467e-05
"303",5.30438867345467e-05
"304",5.30438867345467e-05
"305",5.30438867345467e-05
"306",5.30438867345467e-05
"307",3.4396210036115e-05
"308",3.4396210036115e-05
"309",3.4396210036115e-05
"310",3.4396210036115e-05
"311",2.81058865972798e-05
"312",2.31630217642987e-05
"313",2.31630217642987e-05
"314",2.31630217642987e-05
"315",2.31630217642987e-05
"316",2.31630217642987e-05
"317",2.31630217642987e-05
"318",2.31630217642987e-05
"319",2.31630217642987e-05
"320",2.31630217642987e-05
"321",1.60941395119601e-05
"322",1.60941395119601e-05
"323",1.1481347956568e-05
"324",1.1481347956568e-05
"325",1.1481347956568e-05
"326",1.1481347956568e-05
"327",1.1481347956568e-05
"328",8.37747432932541e-06
"329",8.37747432932541e-06
"330",8.37747432932541e-06
"331",8.37747432932541e-06
"332",8.37747432932541e-06
"333",8.37747432932541e-06
"334",6.23325062267395e-06
"335",6.23325062267395e-06
"336",4.7177745383578e-06
"337",4.7177745383578e-06
"338",4.7177745383578e-06
"339",4.7177745383578e-06
"340",4.7177745383578e-06
"341",4.7177745383578e-06
"342",4.7177745383578e-06
"343",4.7177745383578e-06
"344",4.7177745383578e-06
"345",3.62503609553215e-06
"346",3.62503609553215e-06
"347",3.62503609553215e-06
"348",3.62503609553215e-06
"349",2.82305295640119e-06
"350",2.82305295640119e-06
"351",2.22511136143002e-06
"352",2.22511136143002e-06
"353",2.22511136143002e-06
"354",2.22511136143002e-06
"355",2.22511136143002e-06
"356",1.42664031092612e-06
"357",1.42664031092612e-06
"358",1.42664031092612e-06
"359",1.42664031092612e-06
"360",1.42664031092612e-06
"361",1.42664031092612e-06
"362",1.42664031092612e-06
"363",1.42664031092612e-06
"364",1.15831109105749e-06
"365",9.48198029160939e-07
"366",9.48198029160939e-07
"367",9.48198029160939e-07
"368",9.48198029160939e-07
"369",5.42974092630497e-07
"370",5.42974092630497e-07
"371",5.42974092630497e-07
"372",5.42974092630497e-07
"373",5.42974092630497e-07
"374",5.42974092630497e-07
"375",5.42974092630497e-07
"376",5.42974092630497e-07
"377",5.42974092630497e-07
"378",5.42974092630497e-07
"379",4.56601714143537e-07
"380",4.56601714143537e-07
"381",3.86110805584353e-07
"382",3.86110805584353e-07
"383",3.28202388646648e-07
"384",2.40548245596161e-07
"385",2.40548245596161e-07
"386",2.40548245596161e-07
"387",2.40548245596161e-07
"388",2.40548245596161e-07
"389",2.40548245596161e-07
"390",2.40548245596161e-07
"391",2.40548245596161e-07
"392",2.40548245596161e-07
"393",2.40548245596161e-07
"394",2.40548245596161e-07
"395",2.40548245596161e-07
"396",2.40548245596161e-07
"397",2.40548245596161e-07
"398",1.18764210380966e-07
"399",1.18764210380966e-07
"400",1.18764210380966e-07
"401",1.18764210380966e-07
"402",1.04212597013308e-07
"403",1.04212597013308e-07
"404",1.04212597013308e-07
"405",7.16748425057204e-08
"406",6.36152261967929e-08
"407",6.36152261967929e-08
"408",6.36152261967929e-08
"409",6.36152261967929e-08
"410",6.36152261967929e-08
"411",6.36152261967929e-08
"412",6.36152261967929e-08
"413",6.36152261967929e-08
"414",6.36152261967929e-08
"415",6.36152261967929e-08
"416",6.36152261967929e-08
"417",6.36152261967929e-08
"418",4.51384529376139e-08
"419",3.63154331606616e-08
"420",3.63154331606616e-08
"421",3.63154331606616e-08
"422",3.63154331606616e-08
"423",3.63154331606616e-08
"424",3.63154331606616e-08
"425",3.63154331606616e-08
"426",3.63154331606616e-08
"427",3.63154331606616e-08
"428",3.26745871293354e-08
"429",2.18206645254111e-08
"430",2.18206645254111e-08
"431",2.18206645254111e-08
"432",2.18206645254111e-08
"433",2.18206645254111e-08
"434",2.18206645254111e-08
"435",2.18206645254111e-08
"436",2.18206645254111e-08
"437",2.18206645254111e-08
"438",2.18206645254111e-08
"439",2.18206645254111e-08
"440",2.18206645254111e-08
"441",2.18206645254111e-08
"442",1.36758772634554e-08
"443",1.36758772634554e-08
"444",1.36758772634554e-08
"445",1.36758772634554e-08
"446",1.36758772634554e-08
"447",1.14611757718431e-08
"448",8.87962272407303e-09
"449",8.87962272407303e-09
"450",8.87962272407303e-09
"451",8.87962272407303e-09
"452",8.87962272407303e-09
"453",8.87962272407303e-09
"454",8.87962272407303e-09
"455",8.87962272407303e-09
"456",8.87962272407303e-09
"457",5.9416005706396e-09
"458",4.08020818091315e-09
"459",4.08020818091315e-09
"460",4.08020818091315e-09
"461",4.08020818091315e-09
"462",4.08020818091315e-09
"463",4.08020818091315e-09
"464",4.08020818091315e-09
"465",4.08020818091315e-09
"466",4.08020818091315e-09
"467",2.86606369341573e-09
"468",2.86606369341573e-09
"469",2.86606369341573e-09
"470",2.67718156238201e-09
"471",2.05369038023528e-09
"472",2.05369038023528e-09
"473",2.05369038023528e-09
"474",2.05369038023528e-09
"475",2.05369038023528e-09
"476",1.10976055535392e-09
"477",1.10976055535392e-09
"478",8.34005086411352e-10
"479",8.34005086411352e-10
"480",6.34869034721595e-10
"481",6.34869034721595e-10
"482",6.34869034721595e-10
"483",6.34869034721595e-10
"484",6.34869034721595e-10
"485",6.34869034721595e-10
"486",6.34869034721595e-10
"487",3.80612789812659e-10
"488",3.80612789812659e-10
"489",3.80612789812659e-10
"490",3.80612789812659e-10
"491",3.80612789812659e-10
"492",2.3730896360518e-10
"493",2.3730896360518e-10
"494",1.52976521452519e-10
"495",1.52976521452519e-10
"496",1.24183926459547e-10
"497",1.01486054228328e-10
"498",6.90315692462449e-11
"499",6.90315692462449e-11
"500",6.90315692462449e-11
"501",4.79994399857928e-11
"502",4.03240577660245e-11
"503",4.03240577660245e-11
"504",1.79925385287567e-11
"505",1.3372962491545e-11
"506",1.3372962491545e-11
"507",1.3372962491545e-11
"508",1.3372962491545e-11
"509",5.90478222637519e-12
"510",1.20375183715465e-12
"511",1.20375183715465e-12
"512",2.0393812230683e-13
"513",0.00605571241492149
"514",0.00485444385670936
"515",0.00294496832955563
"516",0.00294496832955563
"517",0.00268541346956379
"518",0.00245422337108185
"519",0.00189657132439032
"520",0.00189657132439032
"521",0.00189657132439032
"522",0.00161201745225296
"523",0.0013792852775819
"524",0.0013792852775819
"525",0.0012787891241543
"526",0.0012787891241543
"527",0.00102781342653839
"528",0.000894301645047078
"529",0.000894301645047078
"530",0.000644331474505992
"531",0.000644331474505992
"532",0.000644331474505992
"533",0.000644331474505992
"534",0.000605322932523215
"535",0.000535765360824054
"536",0.0004759010828846
"537",0.000358971779133913
"538",0.000358971779133913
"539",0.000358971779133913
"540",0.000358971779133913
"541",0.000358971779133913
"542",0.000275711218782467
"543",0.000275711218782467
"544",0.000275711218782467
"545",0.000275711218782467
"546",0.000262048316105355
"547",0.000249214639969642
"548",0.000215116688085413
"549",0.000215116688085413
"550",0.000215116688085413
"551",0.000170172001137917
"552",0.000136273820388026
"553",0.000136273820388026
"554",0.000136273820388026
"555",0.000136273820388026
"556",0.000136273820388026
"557",0.000136273820388026
"558",0.000136273820388026
"559",0.000136273820388026
"560",0.000136273820388026
"561",0.000136273820388026
"562",0.000136273820388026
"563",9.0198890598748e-05
"564",9.0198890598748e-05
"565",9.0198890598748e-05
"566",9.0198890598748e-05
"567",7.44005449469039e-05
"568",6.18657833344149e-05
"569",6.18657833344149e-05
"570",6.18657833344149e-05
"571",6.18657833344149e-05
"572",6.18657833344149e-05
"573",6.18657833344149e-05
"574",6.18657833344149e-05
"575",6.18657833344149e-05
"576",6.18657833344149e-05
"577",4.37039732721112e-05
"578",4.37039732721112e-05
"579",3.1652738687183e-05
"580",3.1652738687183e-05
"581",3.1652738687183e-05
"582",3.1652738687183e-05
"583",3.1652738687183e-05
"584",2.3418874146806e-05
"585",2.3418874146806e-05
"586",2.3418874146806e-05
"587",2.3418874146806e-05
"588",2.3418874146806e-05
"589",2.3418874146806e-05
"590",1.76502284974411e-05
"591",1.76502284974411e-05
"592",1.35196909281833e-05
"593",1.35196909281833e-05
"594",1.35196909281833e-05
"595",1.35196909281833e-05
"596",1.35196909281833e-05
"597",1.35196909281833e-05
"598",1.35196909281833e-05
"599",1.35196909281833e-05
"600",1.35196909281833e-05
"601",1.05050284969058e-05
"602",1.05050284969058e-05
"603",1.05050284969058e-05
"604",1.05050284969058e-05
"605",8.2672673791829e-06
"606",8.2672673791829e-06
"607",6.58096632380014e-06
"608",6.58096632380014e-06
"609",6.58096632380014e-06
"610",6.58096632380014e-06
"611",6.58096632380014e-06
"612",4.29697663528727e-06
"613",4.29697663528727e-06
"614",4.29697663528727e-06
"615",4.29697663528727e-06
"616",4.29697663528727e-06
"617",4.29697663528727e-06
"618",4.29697663528727e-06
"619",4.29697663528727e-06
"620",3.51831037322041e-06
"621",2.90333036933596e-06
"622",2.90333036933596e-06
"623",2.90333036933596e-06
"624",2.90333036933596e-06
"625",1.6996297153975e-06
"626",1.6996297153975e-06
"627",1.6996297153975e-06
"628",1.6996297153975e-06
"629",1.6996297153975e-06
"630",1.6996297153975e-06
"631",1.6996297153975e-06
"632",1.6996297153975e-06
"633",1.6996297153975e-06
"634",1.6996297153975e-06
"635",1.43896056928012e-06
"636",1.43896056928012e-06
"637",1.22475031395901e-06
"638",1.22475031395901e-06
"639",1.04760573524541e-06
"640",7.76992321336753e-07
"641",7.76992321336753e-07
"642",7.76992321336753e-07
"643",7.76992321336753e-07
"644",7.76992321336753e-07
"645",7.76992321336753e-07
"646",7.76992321336753e-07
"647",7.76992321336753e-07
"648",7.76992321336753e-07
"649",7.76992321336753e-07
"650",7.76992321336753e-07
"651",7.76992321336753e-07
"652",7.76992321336753e-07
"653",7.76992321336753e-07
"654",3.93924314815825e-07
"655",3.93924314815825e-07
"656",3.93924314815825e-07
"657",3.93924314815825e-07
"658",3.4733571884772e-07
"659",3.4733571884772e-07
"660",3.4733571884772e-07
"661",2.42195076909227e-07
"662",2.1589708285599e-07
"663",2.1589708285599e-07
"664",2.1589708285599e-07
"665",2.1589708285599e-07
"666",2.1589708285599e-07
"667",2.1589708285599e-07
"668",2.1589708285599e-07
"669",2.1589708285599e-07
"670",2.1589708285599e-07
"671",2.1589708285599e-07
"672",2.1589708285599e-07
"673",2.1589708285599e-07
"674",1.55103064610036e-07
"675",1.25762156717516e-07
"676",1.25762156717516e-07
"677",1.25762156717516e-07
"678",1.25762156717516e-07
"679",1.25762156717516e-07
"680",1.25762156717516e-07
"681",1.25762156717516e-07
"682",1.25762156717516e-07
"683",1.25762156717516e-07
"684",1.1358077129868e-07
"685",7.69424073088739e-08
"686",7.69424073088739e-08
"687",7.69424073088739e-08
"688",7.69424073088739e-08
"689",7.69424073088739e-08
"690",7.69424073088739e-08
"691",7.69424073088739e-08
"692",7.69424073088739e-08
"693",7.69424073088739e-08
"694",7.69424073088739e-08
"695",7.69424073088739e-08
